id,person_id,organisation_id,organisation_name,firm_id,role,date,end_date,date_basis,limit,source_refs
affiliation-51619aaf971078a19e70,a62ffcff-b8c2-5716-ab30-e60a8a028cd8,brand-e335536431cb4864a462,Compass Lexecon,,Senior Vice President,2020-01-06,,actual_start,Selected appointment or advisory relationship. This does not establish a current role.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""20Jan2020 release, paragraphs1 and joining paragraph; webread12Sep"", ""source_id"": ""source-8cd354f0fdc23f69d131""}]"
affiliation-3d813611ad789276f8d4,3bb30b8c-333e-5ed4-b0f1-f45dae00947f,brand-e335536431cb4864a462,Compass Lexecon,,Senior Vice President and Head of Research,2020-06,,announced_start_month,Selected appointment or advisory relationship. This does not establish a current role.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""22April2020 opening paragraphs"", ""source_id"": ""source-5d9b6866537dc443dce8""}]"
affiliation-e9327b35c79ef5fb8bda,3566ca43-98f6-540a-b884-4371b5a1d40b,brand-4cc7a4b341d8ce3315ea,Keystone,,Partner and Co-Head of Europe,2023-01-03,,announced_start,Selected appointment or advisory relationship. This does not establish a current role.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""29Nov2022 issuerrelease, opening and Europeanexpansion paragraphs"", ""source_id"": ""source-15c0e40bfd53d6b265f3""}]"
affiliation-7f34e86354aef37ffd93,ab82f983-8b41-563d-a066-333667e772a6,brand-4cc7a4b341d8ce3315ea,Keystone,,Partner and Head of Advanced Technology Services in Europe,2023-01-24,,announced_start,Selected appointment or advisory relationship. This does not establish a current role.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Release mainbody paragraphs1–5, webread12Sep"", ""source_id"": ""source-97af0c5d383c36501fc5""}]"
affiliation-1f11be013d909ab7d142,015d02a7-f451-50c5-9995-57b0131ed5be,brand-4df3b4731df01cdb3cff,AlixPartners,,Senior competition-economics appointment,2024-10-03,,announcement,Selected appointment or advisory relationship. This does not establish a current role.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""3Oct2024 paragraphs1–6, webread12Sep"", ""source_id"": ""source-6e5d9231f8b434543f7a""}]"
affiliation-7b3af6451cfa0e4e9e54,22e350a0-e5ee-506c-a313-b8547b94b435,brand-4df3b4731df01cdb3cff,AlixPartners,,Senior competition-economics appointment,2024-10-03,,announcement,Selected appointment or advisory relationship. This does not establish a current role.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""3Oct2024 paragraphs1–6, webread12Sep"", ""source_id"": ""source-6e5d9231f8b434543f7a""}]"
affiliation-510d017ab8b89f74ae65,fbb00c91-735c-567e-a304-e1a8548d2695,brand-e335536431cb4864a462,Compass Lexecon,,Senior Managing Director,2025-04-16,,announcement,Selected appointment or advisory relationship. This does not establish a current role.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""16Apr2025 opening paragraph"", ""source_id"": ""source-ac7357aab506f020fc90""}]"
affiliation-715f2fb2b88366f4f1a2,4923e13d-90d6-5dec-80e6-918456ed1e11,brand-4df3b4731df01cdb3cff,AlixPartners,,Senior advisory role,2025-06-19,,announcement,Selected appointment or advisory relationship. This does not establish a current role.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""19June2025 opening paragraphs"", ""source_id"": ""source-62076c660b2156fdb9fe""}]"
affiliation-3f972f29588aba9d3584,c04dbe40-625e-5eaa-bebb-a587ea6e52f6,brand-0baf4683816040c123f4,Oxera,,"Partner, competition practice",2025-09-16,,announcement,Selected appointment or advisory relationship. This does not establish a current role.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""16Sep2025 opening/role paragraphs"", ""source_id"": ""source-2b89364c1e0dae2fc75d""}]"
affiliation-2fe786bbef667deb37be,ab82f983-8b41-563d-a066-333667e772a6,brand-4df3b4731df01cdb3cff,AlixPartners,,Partner and Managing Director; new behavioural-economics and technology team,2025-12-03,,announcement,Selected appointment or advisory relationship. This does not establish a current role.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""3Dec2025 opening and biography"", ""source_id"": ""source-fc08c1776b148c5def76""}]"
affiliation-022c242e93f35d32fcbf,178931f5-bc4a-55d7-b160-8e5219e60123,brand-c3328e267cf6da135e0a,Frontier Economics,,Senior Adviser,2026-01-05,,announced_start,Selected appointment or advisory relationship. This does not establish a current role.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""24Oct2025 opening paragraphs"", ""source_id"": ""source-18bcddb4a383ff25e88c""}]"
