id,firm_id,legal_entity_id,year_end,period_months,currency,metric,value,value_exact,missingness,accounting_basis,metric_basis,estimated,is_latest,source_refs
fin-69f418ac94c32335442f,firm-1,legal-GB-OC315356,2024-03-31,12,GBP,highest_paid_member,4520380.0,4520380,value,Consolidated group; turnover; operating profit before member allocations,disclosed entitlement; not salary or cash,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 23 / printed 21, note 8"", ""source_id"": ""source-8b4ee7335df08fdfb3d1""}]"
fin-aeaa93588de53041765f,firm-1,legal-GB-OC315356,2024-03-31,12,GBP,num_members,18.0,18,value,Consolidated group; turnover; operating profit before member allocations,,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 23 / printed 21, note 8"", ""source_id"": ""source-8b4ee7335df08fdfb3d1""}]"
fin-a106619d8914cd352d2c,firm-1,legal-GB-OC315356,2024-03-31,12,GBP,operating_profit,43977171.0,43977171,value,Consolidated group; turnover; operating profit before member allocations,,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 23 / printed 21, note 8"", ""source_id"": ""source-8b4ee7335df08fdfb3d1""}]"
fin-af7c6c8d65ea480bec8d,firm-1,legal-GB-OC315356,2024-03-31,12,GBP,profit_to_members,43273610.0,43273610,value,Consolidated group; turnover; operating profit before member allocations,Group discretionary profit after corporation tax; before members’ personal taxes,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 23 / printed 21, note 8"", ""source_id"": ""source-8b4ee7335df08fdfb3d1""}]"
fin-8f8004a1846e51cd8981,firm-1,legal-GB-OC315356,2024-03-31,12,GBP,turnover,82006377.0,82006377,value,Consolidated group; turnover; operating profit before member allocations,,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 23 / printed 21, note 8"", ""source_id"": ""source-8b4ee7335df08fdfb3d1""}]"
fin-b64b4b28342d89e4dd16,firm-1,legal-GB-OC315356,2025-03-31,12,GBP,highest_paid_member,5771775.0,5771775,value,Consolidated group; turnover; operating profit before member allocations,disclosed entitlement; not salary or cash,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""PDF 11 / printed 9, income; PDF 23 / printed 21, note 8; PDF 22 / printed 20, Note 6 employees"", ""source_id"": ""source-8b4ee7335df08fdfb3d1""}]"
fin-509a9be22792217e7bec,firm-1,legal-GB-OC315356,2025-03-31,12,GBP,num_members,18.0,18,value,Consolidated group; turnover; operating profit before member allocations,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""PDF 11 / printed 9, income; PDF 23 / printed 21, note 8; PDF 22 / printed 20, Note 6 employees"", ""source_id"": ""source-8b4ee7335df08fdfb3d1""}]"
fin-8feadf39363a9f9249bc,firm-1,legal-GB-OC315356,2025-03-31,12,GBP,num_staff,269.0,269,value,Consolidated group; turnover; operating profit before member allocations,Group average employees excluding members: 247 consultants and 22 support staff = 269; parent LLP average 181 is a different perimeter.,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""PDF 11 / printed 9, income; PDF 23 / printed 21, note 8; PDF 22 / printed 20, Note 6 employees"", ""source_id"": ""source-8b4ee7335df08fdfb3d1""}]"
fin-a9dbd329049e6bc79632,firm-1,legal-GB-OC315356,2025-03-31,12,GBP,operating_profit,60988932.0,60988932,value,Consolidated group; turnover; operating profit before member allocations,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""PDF 11 / printed 9, income; PDF 23 / printed 21, note 8; PDF 22 / printed 20, Note 6 employees"", ""source_id"": ""source-8b4ee7335df08fdfb3d1""}]"
fin-0e44abfd174ac2f5cabe,firm-1,legal-GB-OC315356,2025-03-31,12,GBP,profit_to_members,60226315.0,60226315,value,Consolidated group; turnover; operating profit before member allocations,Group discretionary profit after corporation tax; before members’ personal taxes,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""PDF 11 / printed 9, income; PDF 23 / printed 21, note 8; PDF 22 / printed 20, Note 6 employees"", ""source_id"": ""source-8b4ee7335df08fdfb3d1""}]"
fin-6e280b4d2b7823c6e14d,firm-1,legal-GB-OC315356,2025-03-31,12,GBP,turnover,108402487.0,108402487,value,Consolidated group; turnover; operating profit before member allocations,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""PDF 11 / printed 9, income; PDF 23 / printed 21, note 8; PDF 22 / printed 20, Note 6 employees"", ""source_id"": ""source-8b4ee7335df08fdfb3d1""}]"
fin-163cc83e54fec6f215b7,firm-10,legal-GB-OC360308,2024-12-31,12,GBP,operating_profit,52799000.0,52799000,value,LLP entity; net revenue after client expenses/disbursements; operating profit before member remuneration,,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 13 / printed 13, income"", ""source_id"": ""source-e2572c3fb8f49eec3305""}]"
fin-77f6231bfca570179231,firm-10,legal-GB-OC360308,2024-12-31,12,GBP,turnover,273190000.0,273190000,value,LLP entity; net revenue after client expenses/disbursements; operating profit before member remuneration,,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 13 / printed 13, income"", ""source_id"": ""source-e2572c3fb8f49eec3305""}]"
fin-d7ddfeabbb1b2949af03,firm-11,legal-GB-OC372614,2025-03-31,12,GBP,operating_profit,109481000.0,109481000,value,LLP entity; turnover; operating profit before member remuneration; current period 12 months,,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 10 / printed 8, income"", ""source_id"": ""source-7ce73d8eeb366c81233c""}]"
fin-d024a30c2315b7acb674,firm-11,legal-GB-OC372614,2025-03-31,12,GBP,turnover,460840000.0,460840000,value,LLP entity; turnover; operating profit before member remuneration; current period 12 months,,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 10 / printed 8, income"", ""source_id"": ""source-7ce73d8eeb366c81233c""}]"
fin-c669afa69106b6feb67b,firm-12,legal-GB-OC303471,2024-03-31,12,GBP,num_members,180.0,180,value,Consolidated group; turnover; operating profit before member allocations,,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 16 / printed 12, income; PDF 34 / printed 30, note 12"", ""source_id"": ""source-4b96ee7af68ba6baef16""}]"
fin-651a20479b91fd3868c8,firm-12,legal-GB-OC303471,2024-03-31,12,GBP,operating_profit,157631353.0,157631353,value,Consolidated group; turnover; operating profit before member allocations,,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 16 / printed 12, income; PDF 34 / printed 30, note 12"", ""source_id"": ""source-4b96ee7af68ba6baef16""}]"
fin-97a78630ec19f2089ca2,firm-12,legal-GB-OC303471,2024-03-31,12,GBP,profit_to_members,153622612.0,153622612,value,Consolidated group; turnover; operating profit before member allocations,Group profit available for discretionary division,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 16 / printed 12, income; PDF 34 / printed 30, note 12"", ""source_id"": ""source-4b96ee7af68ba6baef16""}]"
fin-713aea072c68565de431,firm-12,legal-GB-OC303471,2024-03-31,12,GBP,turnover,432772334.0,432772334,value,Consolidated group; turnover; operating profit before member allocations,,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 16 / printed 12, income; PDF 34 / printed 30, note 12"", ""source_id"": ""source-4b96ee7af68ba6baef16""}]"
fin-714203af76a6cc00f005,firm-12,legal-GB-OC303471,2025-03-31,12,GBP,highest_paid_member,11333101.01,11333101.01,value,Consolidated group; turnover; operating profit before member allocations,estimate: 7% of discretionary profit; excludes 8% of disposal cash receipts,True,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 16 / printed 12, income; PDF 34 / printed 30, note 12"", ""source_id"": ""source-4b96ee7af68ba6baef16""}]"
fin-27c25ffa8fac566485b6,firm-12,legal-GB-OC303471,2025-03-31,12,GBP,num_members,178.0,178,value,Consolidated group; turnover; operating profit before member allocations,,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 16 / printed 12, income; PDF 34 / printed 30, note 12"", ""source_id"": ""source-4b96ee7af68ba6baef16""}]"
fin-ec9fcdaf50279f301b1c,firm-12,legal-GB-OC303471,2025-03-31,12,GBP,operating_profit,165657141.0,165657141,value,Consolidated group; turnover; operating profit before member allocations,,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 16 / printed 12, income; PDF 34 / printed 30, note 12"", ""source_id"": ""source-4b96ee7af68ba6baef16""}]"
fin-3a59b8fbe5e6b4d2ce3a,firm-12,legal-GB-OC303471,2025-03-31,12,GBP,profit_to_members,161901443.0,161901443,value,Consolidated group; turnover; operating profit before member allocations,Group profit available for discretionary division,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 16 / printed 12, income; PDF 34 / printed 30, note 12"", ""source_id"": ""source-4b96ee7af68ba6baef16""}]"
fin-4c0b2d6e87dd89260c82,firm-12,legal-GB-OC303471,2025-03-31,12,GBP,turnover,449800556.0,449800556,value,Consolidated group; turnover; operating profit before member allocations,,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 16 / printed 12, income; PDF 34 / printed 30, note 12"", ""source_id"": ""source-4b96ee7af68ba6baef16""}]"
fin-fae4e80c663f458df07e,firm-13,legal-GB-OC330414,2024-12-31,12,EUR,operating_profit,116180777.0,116180777,value,LLP entity; turnover in EUR; operating profit before member remuneration,,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 14 / printed 12, income"", ""source_id"": ""source-8f78a0f06c6b3527dea0""}]"
fin-c30e339038d7cf74ad7d,firm-13,legal-GB-OC330414,2024-12-31,12,EUR,turnover,301347207.0,301347207,value,LLP entity; turnover in EUR; operating profit before member remuneration,,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 14 / printed 12, income"", ""source_id"": ""source-8f78a0f06c6b3527dea0""}]"
fin-e472069ac6a4c83f9d5c,firm-14,legal-GB-OC332081,2024-12-31,12,GBP,operating_profit,28864415.0,28864415,value,"LLP entity; operating profit before members remuneration; £29,015,270 charged as members remuneration, discretionary residual nil",,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 14 / printed page 12"", ""source_id"": ""source-242d3e2ebdbeae6b09fc""}]"
fin-31b1625627947c77c4eb,firm-14,legal-GB-OC332081,2024-12-31,12,GBP,profit_before_tax,29015270.0,29015270,value,"LLP entity; operating profit before members remuneration; £29,015,270 charged as members remuneration, discretionary residual nil",,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 14 / printed page 12"", ""source_id"": ""source-242d3e2ebdbeae6b09fc""}]"
fin-52905055fa1d175cf1c2,firm-14,legal-GB-OC332081,2024-12-31,12,GBP,turnover,71623909.0,71623909,value,"LLP entity; operating profit before members remuneration; £29,015,270 charged as members remuneration, discretionary residual nil",,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 14 / printed page 12"", ""source_id"": ""source-242d3e2ebdbeae6b09fc""}]"
fin-733051fdc9070ae1418e,firm-15,legal-GB-OC331411,2024-12-31,12,GBP,operating_profit,8034957.0,8034957,value,"LLP entity; operating profit before members remuneration; £8,149,017 charged as members remuneration, discretionary residual nil",,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 13 / printed page 11"", ""source_id"": ""source-d24bb54d8d1a23da4993""}]"
fin-fc285f39255854c17bc6,firm-15,legal-GB-OC331411,2024-12-31,12,GBP,profit_before_tax,8149017.0,8149017,value,"LLP entity; operating profit before members remuneration; £8,149,017 charged as members remuneration, discretionary residual nil",,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 13 / printed page 11"", ""source_id"": ""source-d24bb54d8d1a23da4993""}]"
fin-bbf9e3615d5f916ce88a,firm-15,legal-GB-OC331411,2024-12-31,12,GBP,turnover,29532028.0,29532028,value,"LLP entity; operating profit before members remuneration; £8,149,017 charged as members remuneration, discretionary residual nil",,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 13 / printed page 11"", ""source_id"": ""source-d24bb54d8d1a23da4993""}]"
fin-79a6634c3cd4f43723e2,firm-16,legal-GB-01916825,2025-06-30,12,GBP,operating_profit,35526.0,35526,value,Consolidated group; turnover; fiscal year ended 30 June 2025,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 12 / printed page 9"", ""source_id"": ""source-cc6a7906086b297cd4f1""}]"
fin-e1ff9d828aabf08c7a59,firm-16,legal-GB-01916825,2025-06-30,12,GBP,profit_after_tax,23114.0,23114,value,Consolidated group; turnover; fiscal year ended 30 June 2025,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 12 / printed page 9"", ""source_id"": ""source-cc6a7906086b297cd4f1""}]"
fin-5b6bc2c632aa25f340ce,firm-16,legal-GB-01916825,2025-06-30,12,GBP,profit_before_tax,35758.0,35758,value,Consolidated group; turnover; fiscal year ended 30 June 2025,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 12 / printed page 9"", ""source_id"": ""source-cc6a7906086b297cd4f1""}]"
fin-26a2602f3111c18a6135,firm-16,legal-GB-01916825,2025-06-30,12,GBP,turnover,5353205.0,5353205,value,Consolidated group; turnover; fiscal year ended 30 June 2025,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 12 / printed page 9"", ""source_id"": ""source-cc6a7906086b297cd4f1""}]"
fin-6ccea517c577959236c2,firm-17,legal-GB-01557776,2024-07-31,12,GBP,operating_profit,1485347.0,1485347,value,"Company entity (IFRS); year-end31July2024 per statement heading and balance sheet, despite inconsistent template last line referring to December",,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 15 / printed page 13"", ""source_id"": ""source-dab05d09aac79e39991b""}]"
fin-eb907b6168da7fc22ed5,firm-17,legal-GB-01557776,2024-07-31,12,GBP,profit_after_tax,-332111.0,-332111,value,"Company entity (IFRS); year-end31July2024 per statement heading and balance sheet, despite inconsistent template last line referring to December",,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 15 / printed page 13"", ""source_id"": ""source-dab05d09aac79e39991b""}]"
fin-fe72f357bfc09d991c98,firm-17,legal-GB-01557776,2024-07-31,12,GBP,profit_before_tax,1614257.0,1614257,value,"Company entity (IFRS); year-end31July2024 per statement heading and balance sheet, despite inconsistent template last line referring to December",,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 15 / printed page 13"", ""source_id"": ""source-dab05d09aac79e39991b""}]"
fin-7611c05d6bef9c8e9e5f,firm-17,legal-GB-01557776,2024-07-31,12,GBP,turnover,74225193.0,74225193,value,"Company entity (IFRS); year-end31July2024 per statement heading and balance sheet, despite inconsistent template last line referring to December",,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 15 / printed page 13"", ""source_id"": ""source-dab05d09aac79e39991b""}]"
