id,name,scope_type,identity_status,number_assignment_status,scope_note,scope_limit,company_references,source_refs,checked_financial_field_count,latest_checked_financial_field_count
firm-15,A&M Disputes & Investigations LLP,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""OC331411"", ""organisation_id"": ""legal-GB-OC331411"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-ad84900d26fdca58b0bd""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-ad84900d26fdca58b0bd""}]",3,3
firm-13,A&M Europe LLP,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""OC330414"", ""organisation_id"": ""legal-GB-OC330414"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-91842afcad8536a61853""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-91842afcad8536a61853""}]",2,2
firm-14,A&M Tax LLP,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""OC332081"", ""organisation_id"": ""legal-GB-OC332081"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-2101488049b76ab02faa""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-2101488049b76ab02faa""}]",3,3
firm-87,AFRY Management Consulting,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""02573801"", ""organisation_id"": ""legal-GB-02573801"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Companies House overview: Registered office address block"", ""source_id"": ""source-888844c8675a94e8121d""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Companies House overview: Registered office address block"", ""source_id"": ""source-888844c8675a94e8121d""}]",4,4
firm-79,AMION Consulting Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""03909897"", ""organisation_id"": ""legal-GB-03909897"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-734511806e681e2e3f10""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-734511806e681e2e3f10""}]",0,0
firm-84,Accuracy UK Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""06872377"", ""organisation_id"": ""legal-GB-06872377"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-9f85c7d3c0b552a1f59f""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-9f85c7d3c0b552a1f59f""}]",5,5
firm-10,AlixPartners UK LLP,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""OC360308"", ""organisation_id"": ""legal-GB-OC360308"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Two LLAD01 rows dated 7 September 2026: New Street Square to One Millennium Bridge, then addition of street number 1"", ""source_id"": ""source-e2572c3fb8f49eec3305""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Two LLAD01 rows dated 7 September 2026: New Street Square to One Millennium Bridge, then addition of street number 1"", ""source_id"": ""source-e2572c3fb8f49eec3305""}]",2,2
firm-20,Alma Economics Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""09391354"", ""organisation_id"": ""legal-GB-09391354"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-e16340332018a9feff0c""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-e16340332018a9feff0c""}]",0,0
firm-9,Analysis Group Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""10629120"", ""organisation_id"": ""legal-GB-10629120"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-d1d37c7d565ea1c05cfd""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-d1d37c7d565ea1c05cfd""}]",4,4
firm-54,Analytically Driven Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""08719788"", ""organisation_id"": ""legal-GB-08719788"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-f0497b6307626e366217""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-f0497b6307626e366217""}]",0,0
