id,organisation_id,organisation_name,firm_id,city,observed_on,observation_type,limit,source_refs
office-7ac58b087adc037f1b9f,brand-8a4e7df0a4e90b7852e0,Analysis Group,,Beijing,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-a14807aaee4e78416cf4,brand-8a4e7df0a4e90b7852e0,Analysis Group,,Boston,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-acc7d0c1260b575cd0c3,brand-8a4e7df0a4e90b7852e0,Analysis Group,,Brussels,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-d64fe621b1ccbbe0c0a9,brand-8a4e7df0a4e90b7852e0,Analysis Group,,Chicago,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-287ef0f80709fa3bb70f,brand-8a4e7df0a4e90b7852e0,Analysis Group,,Dallas,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-63eeacde5d56041b68f3,brand-8a4e7df0a4e90b7852e0,Analysis Group,,Denver,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-20aa84822a7c6bd1b70f,brand-8a4e7df0a4e90b7852e0,Analysis Group,,London,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-980ebf9daec35fa747d2,brand-8a4e7df0a4e90b7852e0,Analysis Group,,Los Angeles,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-c48563edc4714645272b,brand-8a4e7df0a4e90b7852e0,Analysis Group,,Menlo Park,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-212d393f12136331b738,brand-8a4e7df0a4e90b7852e0,Analysis Group,,Montreal,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-b69a3fbdd1a28e3e41f2,brand-8a4e7df0a4e90b7852e0,Analysis Group,,New York,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-2a19f616522e97a3c489,brand-8a4e7df0a4e90b7852e0,Analysis Group,,Paris,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-0d74fa789120302e04e9,brand-8a4e7df0a4e90b7852e0,Analysis Group,,San Francisco,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-080d2a4e51617091c4e2,brand-8a4e7df0a4e90b7852e0,Analysis Group,,Toronto,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-02540a548a582d4b5322,brand-8a4e7df0a4e90b7852e0,Analysis Group,,Washington DC,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-6cd61f190e22ccd68329""}]"
office-376dbb8d784a540609db,brand-63bf08dcfacaeac5dcc7,CEPA,,London,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-e20bc2d5920cd725a138""}]"
office-74f9d03517b8f9315b26,brand-63bf08dcfacaeac5dcc7,CEPA,,Sydney,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-e20bc2d5920cd725a138""}]"
office-cc18de93ef587941f32b,brand-ab874965c9dde7ac651f,CRA,,Boston,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-4343bfb7a3b50673f289,brand-ab874965c9dde7ac651f,CRA,,Brussels,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-65a48b5ef4554ece173d,brand-ab874965c9dde7ac651f,CRA,,Cambridge,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-c91c973435f4717161ed,brand-ab874965c9dde7ac651f,CRA,,Chicago,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-8d26f9c1c2a569c1d721,brand-ab874965c9dde7ac651f,CRA,,College Station,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
