id,name,type,company_number,registered_name,firm_id
brand-06592b63bc49211d7b1c,Capital Economics,brand,,,
brand-0baf4683816040c123f4,Oxera,brand,,,
brand-138991c77bdae120e791,NERA,brand,,,
brand-344bff8b2788383a072d,KPMG,brand,,,
brand-4cc7a4b341d8ce3315ea,Keystone,brand,,,
brand-4df3b4731df01cdb3cff,AlixPartners,brand,,,
brand-63bf08dcfacaeac5dcc7,CEPA,brand,,,
brand-6e5bbd1d3ce20033623e,RBB Economics,brand,,,
brand-8a4e7df0a4e90b7852e0,Analysis Group,brand,,,
brand-ab874965c9dde7ac651f,CRA,brand,,,
brand-c3328e267cf6da135e0a,Frontier Economics,brand,,,
brand-d35886e8a667371cc05f,Economist Intelligence Unit,brand,,,
brand-d4d3fb41b82bea2ab0f9,Cambridge Econometrics,brand,,,
brand-e335536431cb4864a462,Compass Lexecon,brand,,,
establishment-GB-BR021155,UK establishment BR021155,registered_establishment,,,
firm-18,Capital Economics Ltd,catalogue_firm,,,firm-18
firm-40,Keystone Strategy Ltd,catalogue_firm,,,firm-40
institution-611182849ff8a2b77800,Ofgem,institution,,,
institution-7e63db9187c65c433f37,Competition and Markets Authority,institution,,,
legal-GB-00414220,UK registered entity 00414220,legal_entity,00414220,,
legal-GB-01196703,UK registered entity 01196703,legal_entity,01196703,,firm-64
legal-GB-01557776,UK registered entity 01557776,legal_entity,01557776,,firm-17
legal-GB-01650169,UK registered entity 01650169,legal_entity,01650169,,firm-32
legal-GB-01701564,UK registered entity 01701564,legal_entity,01701564,,firm-30
legal-GB-01762617,UK registered entity 01762617,legal_entity,01762617,,firm-91
legal-GB-01883830,UK registered entity 01883830,legal_entity,01883830,,firm-31
legal-GB-01916825,UK registered entity 01916825,legal_entity,01916825,,firm-16
legal-GB-02474302,UK registered entity 02474302,legal_entity,02474302,,firm-77
legal-GB-02484735,UK registered entity 02484735,legal_entity,02484735,,firm-18
legal-GB-02573801,UK registered entity 02573801,legal_entity,02573801,,firm-87
