id,firm_id,legal_entity_id,organisation_name,address,observed_on,effective_from,legal_status,legal_status_observed_on,dissolved_on,included_in_latest_reader_selection,address_type,limit,source_refs
address-e6e671653e7584093499,,legal-GB-02728021,RAND Europe CIC,"Eastbrook, Shaftesbury Road, Cambridge, United Kingdom, CB2 8BF",2026-09-12,,Active,2026-09-12,,True,registered_office,Dated registered office; not necessarily a working office or headquarters.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Companies House overview: Registered office address block"", ""source_id"": ""source-45e37be676a56fdcc1d5""}]"
address-186296d004980461ca51,firm-1,legal-GB-OC315356,RBB Economics LLP,"199 Bishopsgate, London, EC2M 3TY",2026-09-12,,Active,2026-09-12,,True,registered_office,Dated registered office; not necessarily a working office or headquarters.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Companies House overview: Registered office address block"", ""source_id"": ""source-5be7978b14dab0d662f5""}]"
address-6ec65733a164d942c0c1,firm-10,legal-GB-OC360308,AlixPartners UK LLP,"6 New Street Square, London, England, EC4A 3BF",2026-07-31,,,,,False,registered_office,Dated registered office; not necessarily a working office or headquarters.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-c201465043b8f1e3e528""}]"
address-2817212d34ccfed36f85,firm-10,legal-GB-OC360308,AlixPartners UK LLP,"One Millennium Bridge, 1 High Timber Street, London, England, EC4V 3HT",2026-09-12,2026-09-07,,,,True,registered_office,Dated registered office; not necessarily a working office or headquarters.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Two LLAD01 rows dated 7 September 2026: New Street Square to One Millennium Bridge, then addition of street number 1"", ""source_id"": ""source-e2572c3fb8f49eec3305""}]"
address-97eb641f0af8befdb8ee,firm-11,legal-GB-OC372614,FTI Consulting LLP,"200 Aldersgate Aldersgate Street, London, EC1A 4HD",2026-07-31,,,,,True,registered_office,Dated registered office; not necessarily a working office or headquarters.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-0ca79db229eff8f83513""}]"
address-3239d5c9979b000c5d61,firm-12,legal-GB-OC303471,Baringa Partners LLP,"62 Buckingham Gate, London, England, SW1E 6AJ",2026-07-31,,,,,True,registered_office,Dated registered office; not necessarily a working office or headquarters.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-6f9772fc051abe25e854""}]"
address-92137c6d51794738aee0,firm-13,legal-GB-OC330414,A&M Europe LLP,"30 Old Bailey, London, United Kingdom, EC4M 7AU",2026-07-31,,,,,True,registered_office,Dated registered office; not necessarily a working office or headquarters.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-91842afcad8536a61853""}]"
address-1df92a1c6d1c9ee23f5a,firm-14,legal-GB-OC332081,A&M Tax LLP,"30 Old Bailey, London, United Kingdom, EC4M 7AU",2026-07-31,,,,,True,registered_office,Dated registered office; not necessarily a working office or headquarters.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-2101488049b76ab02faa""}]"
address-f36bff1e1344bfa355ab,firm-15,legal-GB-OC331411,A&M Disputes & Investigations LLP,"30 Old Bailey, London, United Kingdom, EC4M 7AU",2026-07-31,,,,,True,registered_office,Dated registered office; not necessarily a working office or headquarters.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-ad84900d26fdca58b0bd""}]"
address-f70945696952cd7f9e25,firm-16,legal-GB-01916825,Cambridge Econometrics Ltd,"19a Covent Garden, Cambridge, Cambridgeshire, CB1 2HT",2026-07-31,,,,,True,registered_office,Dated registered office; not necessarily a working office or headquarters.,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-eca4c14a83abed473c64""}]"
