slug,title,year,director,runtime,imdb,tmdb,lb_rating,lb_rating_count,imdb_rating,imdb_votes,times_picked,imdb_url,lb_url
a-woman-under-the-influence,A Woman Under the Influence,1974,John Cassavetes,155,tt0072417,29845,4.4,148340,8,33524,40,https://www.imdb.com/title/tt0072417/,https://letterboxd.com/film/a-woman-under-the-influence/
the-killing-of-a-chinese-bookie,The Killing of a Chinese Bookie,1976,John Cassavetes,135,tt0074749,32040,3.9,51818,7.2,16453,38,https://www.imdb.com/title/tt0074749/,https://letterboxd.com/film/the-killing-of-a-chinese-bookie/
faces-1968,Faces,1968,John Cassavetes,130,tt0062952,753,3.93,29556,7.4,12796,36,https://www.imdb.com/title/tt0062952/,https://letterboxd.com/film/faces-1968/
8-half,8½,1963,Federico Fellini,139,tt0056801,422,4.27,267044,8,133067,35,https://www.imdb.com/title/tt0056801/,https://letterboxd.com/film/8-half/
shadows-1958,Shadows,1958,John Cassavetes,87,tt0053270,15484,3.69,37895,7.2,13615,33,https://www.imdb.com/title/tt0053270/,https://letterboxd.com/film/shadows-1958/
la-strada,La Strada,1954,Federico Fellini,115,tt0047528,405,4.18,92242,8,70070,33,https://www.imdb.com/title/tt0047528/,https://letterboxd.com/film/la-strada/
opening-night,Opening Night,1977,John Cassavetes,144,tt0079672,33665,4.3,62433,7.8,14139,33,https://www.imdb.com/title/tt0079672/,https://letterboxd.com/film/opening-night/
a-constant-forge,A Constant Forge,2000,Charles Kiselyak,200,tt0346794,66131,3.67,896,7.4,545,32,https://www.imdb.com/title/tt0346794/,https://letterboxd.com/film/a-constant-forge/
vagabond,Vagabond,1985,Agnès Varda,106,tt0089960,44018,4.11,86645,7.6,15950,27,https://www.imdb.com/title/tt0089960/,https://letterboxd.com/film/vagabond/
cleo-from-5-to-7,Cléo from 5 to 7,1962,Agnès Varda,90,tt0055852,499,4.18,254565,7.8,31836,27,https://www.imdb.com/title/tt0055852/,https://letterboxd.com/film/cleo-from-5-to-7/
la-pointe-courte,La Pointe Courte,1955,Agnès Varda,80,tt0048499,54436,3.72,24706,7,4927,26,https://www.imdb.com/title/tt0048499/,https://letterboxd.com/film/la-pointe-courte/
happiness-1965,Le Bonheur,1965,Agnès Varda,80,tt0058985,53023,4.14,101780,7.6,11911,26,https://www.imdb.com/title/tt0058985/,https://letterboxd.com/film/happiness-1965/
amarcord,Amarcord,1973,Federico Fellini,123,tt0071129,7857,4.12,73269,7.8,51592,24,https://www.imdb.com/title/tt0071129/,https://letterboxd.com/film/amarcord/
varda-by-agnes,Varda by Agnès,2019,Agnès Varda,115,tt9530198,554967,4.08,16912,7.8,2839,24,https://www.imdb.com/title/tt9530198/,https://letterboxd.com/film/varda-by-agnes/
the-gleaners-and-i,The Gleaners and I,2000,Agnès Varda,82,tt0247380,44379,4.27,64108,7.7,10237,24,https://www.imdb.com/title/tt0247380/,https://letterboxd.com/film/the-gleaners-and-i/
