name,visit_date,visit_year,is_group,gender,occupations,lgbtq,n_picks,video,list_url
Griffin Dunne's Second,,2025,0,man,actors;author,0,6,https://www.youtube.com/watch?v=Jf9qeR7aJ3E,https://letterboxd.com/closetpicks/list/griffin-dunnes-second-criterion-closet-picks/
Atom Egoyan,,2025,0,man,writers;directors,0,59,https://youtu.be/X0yY-bMTFq4,https://letterboxd.com/closetpicks/list/atom-egoyans-criterion-closet-picks-1/
Masahiro Shinoda,2010-09-23,2010,0,man,directors,0,8,,https://letterboxd.com/closetpicks/list/masahiro-shinodas-criterion-closet-picks/
Darius Khondji,2010-11-09,2010,0,man,cinematographers,0,14,,https://letterboxd.com/closetpicks/list/darius-khondjis-criterion-closet-picks/
Isaach De Bankole,2010-12-09,2010,0,man,actors,0,9,,https://letterboxd.com/closetpicks/list/isaach-de-bankoles-criterion-closet-picks/
Michael K. Williams,2011-03-20,2011,0,man,actors,0,6,https://www.youtube.com/watch?v=JJiL6ps8hZQ,https://letterboxd.com/closetpicks/list/michael-k-williams-criterion-closet-picks/
Guy Maddin,2011-04-17,2011,0,man,directors,0,13,https://www.youtube.com/watch?v=TowINv3Oq8E,https://letterboxd.com/closetpicks/list/guy-maddins-criterion-closet-picks/
Bill Hader,2011-04-18,2011,0,man,comedians;actors,0,6,https://www.youtube.com/watch?v=348qOuXOAXo,https://letterboxd.com/closetpicks/list/bill-haders-criterion-closet-picks/
Robert Downey Sr.,2011-09-11,2011,0,man,directors;actors,0,15,https://www.youtube.com/watch?v=ZHBVH6ut2k8,https://letterboxd.com/closetpicks/list/robert-downey-srs-criterion-closet-picks/
Adrian Utley,2011-10-04,2011,0,man,musicians,0,5,https://www.youtube.com/watch?v=ZqNSY5xz_r8,https://letterboxd.com/closetpicks/list/adrian-utleys-criterion-closet-picks/
André Bonzel,2011-11-03,2011,0,man,writers;directors;cinematographers,0,7,https://www.youtube.com/watch?v=M0vs4ni4Tuo,https://letterboxd.com/closetpicks/list/andre-bonzels-criterion-closet-picks/
Wim Wenders,2012-01-10,2012,0,man,directors;playwright;author;photographer,0,25,https://www.youtube.com/watch?v=PtVA6nKygFs,https://letterboxd.com/closetpicks/list/wim-wenders-criterion-closet-picks/
Philip Kaufman,2012-04-11,2012,0,man,actors,0,11,https://www.youtube.com/watch?v=5sMFHvBEvKI,https://letterboxd.com/closetpicks/list/philip-kaufmans-criterion-closet-picks/
Harris Savides,2012-04-23,2012,0,man,cinematographers,0,14,https://www.youtube.com/watch?v=cQFAPBbjsaI,https://letterboxd.com/closetpicks/list/harris-savides-criterion-closet-picks/
Brothers Quay,2012-08-05,2012,0,man,animators;directors,0,16,https://www.youtube.com/watch?v=y7JQUoUcE20,https://letterboxd.com/closetpicks/list/brothers-quay-criterion-closet-picks/
Jack Garfein,2012-09-27,2012,0,man,directors;actors,0,18,https://www.youtube.com/watch?v=LhDI8R0Mskg,https://letterboxd.com/closetpicks/list/jack-garfeins-criterion-closet-picks/
Guillermo del Toro,2013-01-14,2013,0,man,directors,0,9,https://www.youtube.com/watch?v=49Al7eYy6sg,https://letterboxd.com/closetpicks/list/guillermo-del-toros-criterion-closet-picks/
James Acheson,2013-01-30,2013,0,man,designers;costume-designers,0,3,https://www.youtube.com/watch?v=-3Q3AQ4W9Wk,https://letterboxd.com/closetpicks/list/james-achesons-criterion-closet-picks/
Alec Baldwin,2013-05-08,2013,0,man,actors,0,5,https://www.youtube.com/watch?v=aRQ4DRUIJBc,https://letterboxd.com/closetpicks/list/alec-baldwins-criterion-closet-picks/
Nicolas Winding Refn,2013-07-18,2013,0,man,directors;writers,0,11,https://www.youtube.com/watch?v=WMfI1AVAF_8,https://letterboxd.com/closetpicks/list/nicolas-winding-refns-criterion-closet-picks/
Alfonso Cuaron and Pawel Pawlikowski,2013-10-03,2013,1,man,directors,0,18,https://www.youtube.com/watch?v=BGvcB42YnM8,https://letterboxd.com/closetpicks/list/alfonso-cuaron-and-pawel-pawlikowskis-criterion/
Bong Joon-ho,2014-07-07,2014,0,man,directors;writers,0,19,https://www.youtube.com/watch?v=qBgZQCkUp7E,https://letterboxd.com/closetpicks/list/bong-joon-hos-criterion-closet-picks/
Richard Ayoade,2014-08-03,2014,0,man,actors;comedians;directors,0,5,https://www.youtube.com/watch?v=yNWUQWSFeQ8,https://letterboxd.com/closetpicks/list/richard-ayoades-criterion-closet-picks/
Slavoj Zizek,2014-09-25,2014,0,man,philosophers;theorists,0,16,https://www.youtube.com/watch?v=OqpxT_iJ8Mc,https://letterboxd.com/closetpicks/list/slavoj-zizeks-criterion-closet-picks/
William Friedkin,2014-10-02,2014,0,man,directors,0,7,https://www.youtube.com/watch?v=63VRJQYcNn0,https://letterboxd.com/closetpicks/list/william-friedkins-criterion-closet-picks/
Volker Schlondorff,2014-10-16,2014,0,man,directors;writers,0,9,https://www.youtube.com/watch?v=Egip8AX68EI,https://letterboxd.com/closetpicks/list/volker-schlondorffs-criterion-closet-picks/
Mike Leigh,2014-12-16,2014,0,man,writers;directors,0,11,https://www.youtube.com/watch?v=f31TXhdC-Ps,https://letterboxd.com/closetpicks/list/mike-leighs-criterion-closet-picks/
Ruben Östlund,2015-01-22,2015,0,man,directors;writers,0,5,https://www.youtube.com/watch?v=0Z2UYLTsPwY,https://letterboxd.com/closetpicks/list/ruben-ostlunds-criterion-closet-picks/
Edgar Wright,2015-03-04,2015,0,man,directors,0,6,https://www.youtube.com/watch?v=M99gL8IBMZw,https://letterboxd.com/closetpicks/list/edgar-wrights-criterion-closet-picks/
