guest,guest_slug,film_slug,film_title,film_year,pick_order
Udo Kier,udo-kiers-criterion-closet-picks,blood-for-dracula,Blood for Dracula,1974,1
Udo Kier,udo-kiers-criterion-closet-picks,flesh-for-frankenstein,Flesh for Frankenstein,1973,2
Udo Kier,udo-kiers-criterion-closet-picks,my-own-private-idaho,My Own Private Idaho,1991,3
Udo Kier,udo-kiers-criterion-closet-picks,breaking-the-waves,Breaking the Waves,1996,4
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,police-story,Police Story,1985,1
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,police-story-2,Police Story 2,1988,2
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,half-a-loaf-of-kung-fu,Half a Loaf of Kung Fu,1978,3
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,spiritual-kung-fu,Spiritual Kung Fu,1978,4
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,fearless-hyena,Fearless Hyena,1979,5
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,fearless-hyena-2,Fearless Hyena 2,1983,6
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,the-young-master,The Young Master,1980,7
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,my-lucky-stars,My Lucky Stars,1985,8
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,the-big-boss,The Big Boss,1971,9
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,fist-of-fury,Fist of Fury,1972,10
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,the-way-of-the-dragon,The Way of the Dragon,1972,11
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,enter-the-dragon,Enter the Dragon,1973,12
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,game-of-death,Game of Death,1978,13
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,scarface,Scarface,1932,14
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,uncut-gems,Uncut Gems,2019,15
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,the-big-heat,The Big Heat,1953,16
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,a-man-escaped,A Man Escaped,1956,17
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,quadrophenia,Quadrophenia,1979,18
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,salo-or-the-120-days-of-sodom,"Salò, or the 120 Days of Sodom",1975,19
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,the-red-shoes,The Red Shoes,1948,20
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,my-life-as-a-dog,My Life as a Dog,1985,21
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,in-a-lonely-place,In a Lonely Place,1950,22
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,head,Head,1968,23
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,easy-rider,Easy Rider,1969,24
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,five-easy-pieces,Five Easy Pieces,1970,25
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,drive-he-said,"Drive, He Said",1971,26
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,a-safe-place,A Safe Place,1971,27
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,the-last-picture-show,The Last Picture Show,1971,28
Bob Odenkirk,bob-odenkirks-criterion-closet-picks,the-king-of-marvin-gardens,The King of Marvin Gardens,1972,29
Gregg Araki,gregg-arakis-criterion-closet-picks,the-doom-generation,The Doom Generation,1995,1
Gregg Araki,gregg-arakis-criterion-closet-picks,bringing-up-baby,Bringing Up Baby,1938,2
Gregg Araki,gregg-arakis-criterion-closet-picks,something-wild,Something Wild,1986,3
Gregg Araki,gregg-arakis-criterion-closet-picks,twin-peaks-fire-walk-with-me,Twin Peaks: Fire Walk with Me,1992,4
Gregg Araki,gregg-arakis-criterion-closet-picks,masculin-feminin,Masculin Féminin,1966,5
Gregg Araki,gregg-arakis-criterion-closet-picks,pink-flamingos,Pink Flamingos,1972,6
Gregg Araki,gregg-arakis-criterion-closet-picks,stranger-than-paradise,Stranger Than Paradise,1984,7
Ryan Coogler,ryan-cooglers-criterion-closet-picks,malcolm-x-1992,Malcolm X,1992,1
Ryan Coogler,ryan-cooglers-criterion-closet-picks,do-the-right-thing,Do the Right Thing,1989,2
Ryan Coogler,ryan-cooglers-criterion-closet-picks,love-jones,Love Jones,1997,3
Ryan Coogler,ryan-cooglers-criterion-closet-picks,thief,Thief,1981,4
Ryan Coogler,ryan-cooglers-criterion-closet-picks,following,Following,1998,5
Ryan Coogler,ryan-cooglers-criterion-closet-picks,seven-samurai,Seven Samurai,1954,6
Ryan Coogler,ryan-cooglers-criterion-closet-picks,late-spring,Late Spring,1949,7
Ryan Coogler,ryan-cooglers-criterion-closet-picks,devil-in-a-blue-dress,Devil in a Blue Dress,1995,8
Ryan Coogler,ryan-cooglers-criterion-closet-picks,love-basketball,Love & Basketball,2000,9
Ira Sachs,ira-sachs-criterion-closet-picks,little-men-2016,Little Men,2016,1
Ira Sachs,ira-sachs-criterion-closet-picks,i-was-born-but,"I Was Born, But...",1932,2
Ira Sachs,ira-sachs-criterion-closet-picks,salvatore-giuliano,Salvatore Giuliano,1962,3
Ira Sachs,ira-sachs-criterion-closet-picks,imitation-of-life,Imitation of Life,1934,4
Ira Sachs,ira-sachs-criterion-closet-picks,charulata,Charulata,1964,5
Ira Sachs,ira-sachs-criterion-closet-picks,shoah,Shoah,1985,6
Ira Sachs,ira-sachs-criterion-closet-picks,the-magic-flute,The Magic Flute,1975,7
Ira Sachs,ira-sachs-criterion-closet-picks,good-morning,Good Morning,1959,8
Ira Sachs,ira-sachs-criterion-closet-picks,jour-de-fete,Jour de Fête,1949,9
Ira Sachs,ira-sachs-criterion-closet-picks,monsieur-hulots-holiday,Monsieur Hulot's Holiday,1953,10
Ira Sachs,ira-sachs-criterion-closet-picks,mon-oncle,Mon Oncle,1958,11
Ira Sachs,ira-sachs-criterion-closet-picks,playtime,PlayTime,1967,12
Ira Sachs,ira-sachs-criterion-closet-picks,trafic,Trafic,1971,13
Ira Sachs,ira-sachs-criterion-closet-picks,parade,Parade,1974,14
Ira Sachs,ira-sachs-criterion-closet-picks,shock-corridor,Shock Corridor,1963,15
Ira Sachs,ira-sachs-criterion-closet-picks,the-moment-of-truth,The Moment of Truth,1965,16
Paul B. Preciado,paul-b-preciados-criterion-closet-picks,orlando-my-political-biography,"Orlando, My Political Biography",2023,1
Paul B. Preciado,paul-b-preciados-criterion-closet-picks,women-on-the-verge-of-a-nervous-breakdown,Women on the Verge of a Nervous Breakdown,1988,2
Paul B. Preciado,paul-b-preciados-criterion-closet-picks,cria,Cria!,1976,3
Paul B. Preciado,paul-b-preciados-criterion-closet-picks,accattone,Accattone,1961,4
Paul B. Preciado,paul-b-preciados-criterion-closet-picks,mamma-roma,Mamma Roma,1962,5
Paul B. Preciado,paul-b-preciados-criterion-closet-picks,love-meetings,Love Meetings,1964,6
