rank,title,year,director,times_picked,lb_rating,imdb_rating,imdb_votes,imdb
1,A Woman Under the Influence,1974,John Cassavetes,40,4.4,8,33524,tt0072417
2,The Killing of a Chinese Bookie,1976,John Cassavetes,38,3.9,7.2,16453,tt0074749
3,Faces,1968,John Cassavetes,36,3.93,7.4,12796,tt0062952
4,8½,1963,Federico Fellini,35,4.27,8,133067,tt0056801
5,Shadows,1958,John Cassavetes,33,3.69,7.2,13615,tt0053270
6,La Strada,1954,Federico Fellini,33,4.18,8,70070,tt0047528
7,Opening Night,1977,John Cassavetes,33,4.3,7.8,14139,tt0079672
8,A Constant Forge,2000,Charles Kiselyak,32,3.67,7.4,545,tt0346794
9,Vagabond,1985,Agnès Varda,27,4.11,7.6,15950,tt0089960
10,Cléo from 5 to 7,1962,Agnès Varda,27,4.18,7.8,31836,tt0055852
11,La Pointe Courte,1955,Agnès Varda,26,3.72,7,4927,tt0048499
12,Le Bonheur,1965,Agnès Varda,26,4.14,7.6,11911,tt0058985
13,Amarcord,1973,Federico Fellini,24,4.12,7.8,51592,tt0071129
14,Varda by Agnès,2019,Agnès Varda,24,4.08,7.8,2839,tt9530198
15,The Gleaners and I,2000,Agnès Varda,24,4.27,7.7,10237,tt0247380
16,Documenteur,1981,Agnès Varda,24,3.79,6.9,1510,tt0082275
17,Kung-Fu Master!,1988,Agnès Varda,24,3.62,6.9,2534,tt0093371
18,Uncle Yanco,1967,Agnès Varda,24,4.08,7.4,1726,tt0179389
19,Jane B. by Agnès V.,1988,Agnès Varda,24,4.01,7.2,1858,tt0093295
20,Jacquot de Nantes,1991,Agnès Varda,24,4.17,7.6,2343,tt0102141
21,Lions Love,1969,Agnès Varda,24,3.39,5.8,1605,tt0064591
22,Black Panthers,1968,Agnès Varda,24,4.14,7.4,3104,tt0209942
23,Faces Places,2017,"Agnès Varda, JR",24,4.15,7.8,14466,tt5598102
24,"One Sings, the Other Doesn't",1977,Agnès Varda,24,4.14,7.4,3227,tt0076855
25,Mur Murs,1981,Agnès Varda,24,3.99,7.4,1341,tt0081204
26,Daguerréotypes,1975,Agnès Varda,24,4.02,7.6,2302,tt0071384
27,The Beaches of Agnès,2008,Agnès Varda,24,4.34,8,5373,tt1129435
28,Agnès Varda: From Here to There,2011,Agnès Varda,24,4.06,7.9,349,tt2125012
29,One Hundred and One Nights,1995,Agnès Varda,24,3.76,6.5,2183,tt0112654
30,The Creatures,1966,Agnès Varda,24,3.49,6.4,1558,tt0060263
31,The Gleaners and I: Two Years Later,2002,Agnès Varda,23,3.82,7.1,1447,tt0345128
32,Do the Right Thing,1989,Spike Lee,22,4.4,7.9,125027,tt0097216
33,Monsieur Hulot's Holiday,1953,Jacques Tati,21,3.73,7.3,22019,tt0046487
34,Parade,1974,Jacques Tati,21,3.27,5.9,2025,tt0071968
