"id","title","director","year","country","spine","url","kind","catalogue","imdb","letterboxd","cast","writers","genres"
"films:351","Grand Illusion","Jean Renoir","1937","France","1","https://www.criterion.com/films/351-grand-illusion","film","True","","","[]","[]","[]"
"films:165","Seven Samurai","Akira Kurosawa","1954","Japan","2","https://www.criterion.com/films/165-seven-samurai","film","True","https://www.imdb.com/title/tt0047478/","https://letterboxd.com/tmdb/346","[""Toshirō Mifune"", ""Takashi Shimura"", ""Yoshio Inaba"", ""Seiji Miyaguchi"", ""Minoru Chiaki"", ""Daisuke Katō"", ""Isao Kimura"", ""Keiko Tsushima""]","[""Hideo Oguni"", ""Shinobu Hashimoto"", ""Akira Kurosawa""]","[""Action"", ""Drama""]"
"films:358","The Lady Vanishes","Alfred Hitchcock","1938","United Kingdom","3","https://www.criterion.com/films/358-the-lady-vanishes","film","True","https://www.imdb.com/title/tt0030341/","https://letterboxd.com/tmdb/940","[""Margaret Lockwood"", ""Michael Redgrave"", ""Paul Lukas"", ""May Whitty"", ""Basil Radford"", ""Naunton Wayne"", ""Cecil Parker"", ""Linden Travers""]","[""Sidney Gilliat"", ""Frank Launder""]","[""Mystery"", ""Thriller""]"
"films:208","Amarcord","Federico Fellini","1973","Italy","4","https://www.criterion.com/films/208-amarcord","film","True","https://www.imdb.com/title/tt0071129/","https://letterboxd.com/tmdb/7857","[""Pupella Maggio"", ""Armando Brancia"", ""Magali Noël"", ""Ciccio Ingrassia"", ""Nando Orfei"", ""Luigi Rossi"", ""Bruno Zanin"", ""Gianfilippo Carcano""]","[""Federico Fellini"", ""Tonino Guerra""]","[""Comedy"", ""Drama""]"
"films:151","The 400 Blows","François Truffaut","1959","France","5","https://www.criterion.com/films/151-the-400-blows","film","True","https://www.imdb.com/title/tt0053198/","https://letterboxd.com/tmdb/147","[""Jean-Pierre Léaud"", ""Claire Maurier"", ""Albert Rémy"", ""Georges Flamant"", ""Patrick Auffay"", ""Robert Beauvais"", ""Yvonne Claudie"", ""Pierre Repp""]","[""François Truffaut""]","[""Drama""]"
"films:177","Beauty and the Beast","Jean Cocteau","1946","France","6","https://www.criterion.com/films/177-beauty-and-the-beast","film","True","https://www.imdb.com/title/tt0038348/","https://letterboxd.com/tmdb/648","[""Jean Marais"", ""Josette Day"", ""Marcel André"", ""Mila Parély"", ""Nane Germon"", ""Michel Auclair"", ""Raoul Marco"", ""Jean Cocteau""]","[""Jean Cocteau""]","[""Drama"", ""Fantasy"", ""Romance""]"
"films:521","A Night to Remember","Roy Ward Baker","1958","United Kingdom","7","https://www.criterion.com/films/521-a-night-to-remember","film","True","","","[]","[]","[]"
"films:231","The Killer","John Woo","1989","Hong Kong","8","https://www.criterion.com/films/231-the-killer","film","True","","","[]","[]","[]"
"films:523","Hard Boiled","John Woo","1992","Hong Kong","9","https://www.criterion.com/films/523-hard-boiled","film","True","","","[]","[]","[]"
"films:522","Walkabout","Nicolas Roeg","1971","United Kingdom","10","https://www.criterion.com/films/522-walkabout","film","True","https://www.imdb.com/title/tt0067959/","https://letterboxd.com/tmdb/36040","[""Jenny Agutter"", ""Luc Roeg"", ""David Gulpilil"", ""John Meillon"", ""Robert McDarra"", ""Peter Carver"", ""John Illingsworth"", ""Hilary Bamberger""]","[""Edward Bond""]","[""Adventure"", ""Drama""]"
"films:173","The Seventh Seal","Ingmar Bergman","1957","Sweden","11","https://www.criterion.com/films/173-the-seventh-seal","film","True","https://www.imdb.com/title/tt0050976/","https://letterboxd.com/tmdb/490","[""Gunnar Björnstrand"", ""Bengt Ekerot"", ""Nils Poppe"", ""Max von Sydow"", ""Bibi Andersson"", ""Inga Gill"", ""Maud Hansson"", ""Inga Landgré""]","[""Ingmar Bergman""]","[""Fantasy"", ""Drama""]"
