"event_id","item_id","title","format","selector","position","rank","source"
"closet:995","films:150","8½","closet","Matthew McConaughey","1","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:995","films:28604","The Great Beauty","closet","Matthew McConaughey","2","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:995","films:28609","Tootsie","closet","Matthew McConaughey","3","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:995","films:28610","The Big Chill","closet","Matthew McConaughey","4","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:995","films:408","Slacker","closet","Matthew McConaughey","5","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:995","films:314","Dazed and Confused","closet","Matthew McConaughey","6","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:995","films:847","Two-Lane Blacktop","closet","Matthew McConaughey","7","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:995","films:29461","Matewan","closet","Matthew McConaughey","8","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:995","films:29164","Thelma & Louise","closet","Matthew McConaughey","9","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:995","films:29024","Mean Streets","closet","Matthew McConaughey","10","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:995","films:29021","Lone Star","closet","Matthew McConaughey","11","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:995","films:33321","Basquiat","closet","Matthew McConaughey","12","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:995","films:29335","Election","closet","Matthew McConaughey","13","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:995","films:30908","Amores perros","closet","Matthew McConaughey","14","","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks"
"closet:1002","films:34534","Eyes Wide Shut","closet","Jason Sudeikis","1","","https://www.criterion.com/shop/collection/1002-jason-sudeikis-s-closet-picks"
"closet:1002","films:34866","House Party","closet","Jason Sudeikis","2","","https://www.criterion.com/shop/collection/1002-jason-sudeikis-s-closet-picks"
"closet:1002","films:28703","A Face in the Crowd","closet","Jason Sudeikis","3","","https://www.criterion.com/shop/collection/1002-jason-sudeikis-s-closet-picks"
"closet:1002","films:603","Charade","closet","Jason Sudeikis","4","","https://www.criterion.com/shop/collection/1002-jason-sudeikis-s-closet-picks"
"closet:1002","films:30460","Double Indemnity","closet","Jason Sudeikis","5","","https://www.criterion.com/shop/collection/1002-jason-sudeikis-s-closet-picks"
"closet:1002","films:31500","Love & Basketball","closet","Jason Sudeikis","6","","https://www.criterion.com/shop/collection/1002-jason-sudeikis-s-closet-picks"
