"id","format","title","name","person","group","roles","roleSources","recorded","published","url","video"
"closet:995","closet","Matthew McConaughey’s Closet Picks","Matthew McConaughey","matthewmcconaughey","False","[""Actor""]","[""https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks""]","2026-08-12","2026-08-21","https://www.criterion.com/shop/collection/995-matthew-mcconaughey-s-closet-picks","https://www.youtube.com/watch?v=G5BIhjXCJOY"
"closet:1002","closet","Jason Sudeikis’s Closet Picks","Jason Sudeikis","jasonsudeikis","False","[""Actor"", ""Writer""]","[""https://www.criterion.com/shop/collection/1002-jason-sudeikis-s-closet-picks""]","2026-08-03","","https://www.criterion.com/shop/collection/1002-jason-sudeikis-s-closet-picks",""
"closet:985","closet","Matt Damon’s Closet Picks","Matt Damon","mattdamon","False","[""Actor"", ""Producer""]","[""https://www.criterion.com/shop/collection/985-matt-damon-s-closet-picks""]","2026-07-16","2026-07-27","https://www.criterion.com/shop/collection/985-matt-damon-s-closet-picks","https://www.youtube.com/watch?v=ZCxYGx6ueNM"
"closet:1000","closet","Joan Chen’s Closet Picks","Joan Chen","joanchen","False","[""Actor""]","[""https://www.criterion.com/shop/collection/1000-joan-chen-s-closet-picks""]","2026-07-15","2026-08-31","https://www.criterion.com/shop/collection/1000-joan-chen-s-closet-picks","https://www.youtube.com/watch?v=u9aapMjogSc"
"closet:1001","closet","Wes Anderson’s Mobile Closet Picks","Wes Anderson","wesanderson","False","[""Director""]","[""https://www.criterion.com/current/top-10-lists/115-wes-anderson-s-top-10"", ""https://www.criterion.com/shop/collection/1001-wes-anderson-s-mobile-closet-picks""]","2026-07-11","","https://www.criterion.com/shop/collection/1001-wes-anderson-s-mobile-closet-picks",""
"closet:998","closet","Adam Scott’s Closet Picks","Adam Scott","adamscott","False","[""Actor""]","[""https://www.criterion.com/shop/collection/998-adam-scott-s-closet-picks""]","2026-07-06","2026-08-28","https://www.criterion.com/shop/collection/998-adam-scott-s-closet-picks","https://www.youtube.com/watch?v=uzH9Fjb2x4w"
"closet:993","closet","Danny McBride’s Closet Picks","Danny McBride","dannymcbride","False","[""Actor"", ""Writer""]","[""https://www.criterion.com/shop/collection/993-danny-mcbride-s-closet-picks""]","2026-06-23","2026-08-17","https://www.criterion.com/shop/collection/993-danny-mcbride-s-closet-picks","https://www.youtube.com/watch?v=3lFsnL7N5sA"
"closet:984","closet","Christopher Nolan’s Closet Picks","Christopher Nolan","christophernolan","False","[""Director""]","[""https://www.criterion.com/current/top-10-lists/191-christopher-nolan-s-top-10"", ""https://www.criterion.com/shop/collection/984-christopher-nolan-s-closet-picks""]","2026-06-19","2026-07-24","https://www.criterion.com/shop/collection/984-christopher-nolan-s-closet-picks","https://www.youtube.com/watch?v=t9fgFt-Ibik"
"closet:991","closet","Eric Andre’s Closet Picks","Eric Andre","ericandre","False","[""Actor"", ""Comedian"", ""Writer""]","[""https://www.criterion.com/shop/collection/991-eric-andre-s-closet-picks""]","2026-06-17","2026-08-10","https://www.criterion.com/shop/collection/991-eric-andre-s-closet-picks","https://www.youtube.com/watch?v=kJqymGEIMt0"
"closet:1003","closet","Jack Coyne’s Closet Picks","Jack Coyne","jackcoyne","False","[""Host / presenter""]","[""https://www.criterion.com/shop/collection/1003-jack-coyne-s-closet-picks""]","2026-06-15","","https://www.criterion.com/shop/collection/1003-jack-coyne-s-closet-picks",""
"closet:980","closet","Finneas’s Closet Picks","Finneas","finneas","False","[""Musician""]","[""https://www.criterion.com/shop/collection/980-finneas-s-closet-picks""]","2026-06-11","2026-07-10","https://www.criterion.com/shop/collection/980-finneas-s-closet-picks","https://www.youtube.com/watch?v=uJqqkVAgCcc"
"closet:986","closet","Cooper Hoffman’s Closet Picks","Cooper Hoffman","cooperhoffman","False","[""Actor""]","[""https://www.criterion.com/shop/collection/986-cooper-hoffman-s-closet-picks""]","2026-06-11","2026-07-31","https://www.criterion.com/shop/collection/986-cooper-hoffman-s-closet-picks","https://www.youtube.com/watch?v=6UCSuaFuwrY"
"closet:990","closet","Thomas Bangalter’s Closet Picks","Thomas Bangalter","thomasbangalter","False","[""Musician"", ""Producer""]","[""https://www.criterion.com/shop/collection/990-thomas-bangalter-s-closet-picks""]","2026-06-08","2026-08-07","https://www.criterion.com/shop/collection/990-thomas-bangalter-s-closet-picks","https://www.youtube.com/watch?v=uaajhIBkE-g"
"closet:992","closet","Colman Domingo’s Closet Picks","Colman Domingo","colmandomingo","False","[""Actor""]","[""https://www.criterion.com/shop/collection/992-colman-domingo-s-closet-picks""]","2026-06-08","2026-08-14","https://www.criterion.com/shop/collection/992-colman-domingo-s-closet-picks","https://www.youtube.com/watch?v=LB5fjskhpao"
"closet:981","closet","John Leguizamo’s Closet Picks","John Leguizamo","johnleguizamo","False","[""Actor"", ""Director"", ""Writer""]","[""https://www.criterion.com/shop/collection/981-john-leguizamo-s-closet-picks""]","2026-06-03","2026-07-14","https://www.criterion.com/shop/collection/981-john-leguizamo-s-closet-picks","https://www.youtube.com/watch?v=VyE1nBqRNIQ"
"closet:982","closet","Camila Mendes’s Closet Picks","Camila Mendes","camilamendes","False","[""Actor""]","[""https://www.criterion.com/shop/collection/982-camila-mendes-s-closet-picks""]","2026-06-03","2026-07-17","https://www.criterion.com/shop/collection/982-camila-mendes-s-closet-picks","https://www.youtube.com/watch?v=pwAJ1djDXws"
"closet:989","closet","Fred Armisen and Carrie Brownstein’s Closet Picks","Fred Armisen and Carrie Brownstein","fredarmisenandcarriebrownstein","True","[]","[""https://www.criterion.com/shop/collection/989-fred-armisen-and-carrie-brownstein-s-closet-picks""]","2026-05-31","2026-08-03","https://www.criterion.com/shop/collection/989-fred-armisen-and-carrie-brownstein-s-closet-picks","https://www.youtube.com/watch?v=uy3FoDjNR-k"
"closet:983","closet","Mindy Kaling’s Closet Picks","Mindy Kaling","mindykaling","False","[""Actor"", ""Producer"", ""Writer""]","[""https://www.criterion.com/shop/collection/983-mindy-kaling-s-closet-picks""]","2026-05-27","2026-07-20","https://www.criterion.com/shop/collection/983-mindy-kaling-s-closet-picks","https://www.youtube.com/watch?v=9Rauz_wHSXQ"
"closet:967","closet","Paul Rudd’s Closet Picks","Paul Rudd","paulrudd","False","[""Actor""]","[""https://letterboxd.com/closetpicks/list/paul-rudds-criterion-closet-picks/"", ""https://www.criterion.com/shop/collection/967-paul-rudd-s-closet-picks""]","2026-05-19","2026-05-29","https://www.criterion.com/shop/collection/967-paul-rudd-s-closet-picks","https://www.youtube.com/watch?v=ZTvRQRTVdqA"
"closet:979","closet","David Tennant’s Closet Picks","David Tennant","davidtennant","False","[""Actor""]","[""https://www.criterion.com/shop/collection/979-david-tennant-s-closet-picks""]","2026-05-19","2026-07-06","https://www.criterion.com/shop/collection/979-david-tennant-s-closet-picks","https://www.youtube.com/watch?v=RoXYGX-tM7c"
"closet:978","closet","Geena Davis’s Closet Picks","Geena Davis","geenadavis","False","[""Actor""]","[""https://www.criterion.com/shop/collection/978-geena-davis-s-closet-picks""]","2026-05-12","2026-07-03","https://www.criterion.com/shop/collection/978-geena-davis-s-closet-picks","https://www.youtube.com/watch?v=QqzRI0d_5TA"
