"criterionUrl","director","filmId","slug","title","year","collectionId","id","pickedAs","picker"
"https://www.criterion.com/films/30738-rouge","Stanley Kwan","30738","rouge","Rouge","1987","1000","30738-1000-1","Rouge","Joan Chen"
"https://www.criterion.com/films/28050-mulholland-dr","David Lynch","28050","mulholland-dr","Mulholland Dr.","2001","1000","28050-1000-2","Mulholland Dr.","Joan Chen"
"https://www.criterion.com/films/27731-three-colors-blue","Krzysztof Kieślowski","27731","three-colors-blue","Three Colors: Blue","1993","1000","27731-1000-3","Three Colors","Joan Chen"
"https://www.criterion.com/films/27732-three-colors-white","Krzysztof Kieślowski","27732","three-colors-white","Three Colors: White","1994","1000","27732-1000-4","Three Colors","Joan Chen"
"https://www.criterion.com/films/27733-three-colors-red","Krzysztof Kieślowski","27733","three-colors-red","Three Colors: Red","1994","1000","27733-1000-5","Three Colors","Joan Chen"
"https://www.criterion.com/films/32141-body-heat","Lawrence Kasdan","32141","body-heat","Body Heat","1981","1000","32141-1000-6","Body Heat","Joan Chen"
"https://www.criterion.com/films/29478-as-tears-go-by","Wong Kar Wai","29478","as-tears-go-by","As Tears Go By","1988","1000","29478-1000-7","World of Wong Kar Wai","Joan Chen"
"https://www.criterion.com/films/29477-days-of-being-wild","Wong Kar Wai","29477","days-of-being-wild","Days of Being Wild","1990","1000","29477-1000-8","World of Wong Kar Wai","Joan Chen"
"https://www.criterion.com/films/226-chungking-express","Wong Kar Wai","226","chungking-express","Chungking Express","1994","1000","226-1000-9","World of Wong Kar Wai","Joan Chen"
"https://www.criterion.com/films/28842-fallen-angels","Wong Kar Wai","28842","fallen-angels","Fallen Angels","1995","1000","28842-1000-10","World of Wong Kar Wai","Joan Chen"
"https://www.criterion.com/films/28843-happy-together","Wong Kar Wai","28843","happy-together","Happy Together","1997","1000","28843-1000-11","World of Wong Kar Wai","Joan Chen"
"https://www.criterion.com/films/198-in-the-mood-for-love","Wong Kar Wai","198","in-the-mood-for-love","In the Mood for Love","2000","1000","198-1000-12","World of Wong Kar Wai","Joan Chen"
"https://www.criterion.com/films/28847-2046","Wong Kar Wai","28847","2046","2046","2004","1000","28847-1000-13","World of Wong Kar Wai","Joan Chen"
"https://www.criterion.com/films/29634-defending-your-life","Albert Brooks","29634","defending-your-life","Defending Your Life","1991","998","29634-998-1","Defending Your Life","Adam Scott"
"https://www.criterion.com/films/30553-the-irishman","Martin Scorsese","30553","the-irishman","The Irishman","2019","998","30553-998-2","The Irishman","Adam Scott"
"https://www.criterion.com/films/28832-sex-lies-and-videotape","Steven Soderbergh","28832","sex-lies-and-videotape","sex, lies, and videotape","1989","998","28832-998-3","sex, lies, and videotape","Adam Scott"
"https://www.criterion.com/films/286-do-the-right-thing","Spike Lee","286","do-the-right-thing","Do the Right Thing","1989","998","286-998-4","Do the Right Thing","Adam Scott"
"https://www.criterion.com/films/28610-the-big-chill","Lawrence Kasdan","28610","the-big-chill","The Big Chill","1983","998","28610-998-5","The Big Chill","Adam Scott"
"https://www.criterion.com/films/29144-blue-velvet","David Lynch","29144","blue-velvet","Blue Velvet","1986","998","29144-998-6","Blue Velvet","Adam Scott"
"https://www.criterion.com/films/27903-his-girl-friday","Howard Hawks","27903","his-girl-friday","His Girl Friday","1940","998","27903-998-7","His Girl Friday","Adam Scott"
"https://www.criterion.com/films/28029-the-war-room","Chris Hegedus and D. A. Pennebaker","28029","the-war-room","The War Room","1993","998","28029-998-8","The War Room","Adam Scott"
"https://www.criterion.com/films/28692-before-sunrise","Richard Linklater","28692","before-sunrise","Before Sunrise","1995","998","28692-998-9","The Before Trilogy","Adam Scott"
"https://www.criterion.com/films/28693-before-sunset","Richard Linklater","28693","before-sunset","Before Sunset","2004","998","28693-998-10","The Before Trilogy","Adam Scott"
"https://www.criterion.com/films/28828-before-midnight","Richard Linklater","28828","before-midnight","Before Midnight","2013","998","28828-998-11","The Before Trilogy","Adam Scott"
"https://www.criterion.com/films/594-bottle-rocket","Wes Anderson","594","bottle-rocket","Bottle Rocket","1996","998","594-998-12","The Wes Anderson Archive: Ten Films, Twenty-Five Years","Adam Scott"
"https://www.criterion.com/films/333-rushmore","Wes Anderson","333","rushmore","Rushmore","1998","998","333-998-13","The Wes Anderson Archive: Ten Films, Twenty-Five Years","Adam Scott"
"https://www.criterion.com/films/230-the-royal-tenenbaums","Wes Anderson","230","the-royal-tenenbaums","The Royal Tenenbaums","2001","998","230-998-14","The Wes Anderson Archive: Ten Films, Twenty-Five Years","Adam Scott"
"https://www.criterion.com/films/741-the-life-aquatic-with-steve-zissou","Wes Anderson","741","the-life-aquatic-with-steve-zissou","The Life Aquatic with Steve Zissou","2004","998","741-998-15","The Wes Anderson Archive: Ten Films, Twenty-Five Years","Adam Scott"
"https://www.criterion.com/films/27520-the-darjeeling-limited","Wes Anderson","27520","the-darjeeling-limited","The Darjeeling Limited","2007","998","27520-998-16","The Wes Anderson Archive: Ten Films, Twenty-Five Years","Adam Scott"
"https://www.criterion.com/films/28565-fantastic-mr-fox","Wes Anderson","28565","fantastic-mr-fox","Fantastic Mr. Fox","2009","998","28565-998-17","The Wes Anderson Archive: Ten Films, Twenty-Five Years","Adam Scott"
"https://www.criterion.com/films/28757-moonrise-kingdom","Wes Anderson","28757","moonrise-kingdom","Moonrise Kingdom","2012","998","28757-998-18","The Wes Anderson Archive: Ten Films, Twenty-Five Years","Adam Scott"
"https://www.criterion.com/films/29601-the-grand-budapest-hotel","Wes Anderson","29601","the-grand-budapest-hotel","The Grand Budapest Hotel","2014","998","29601-998-19","The Wes Anderson Archive: Ten Films, Twenty-Five Years","Adam Scott"
"https://www.criterion.com/films/34340-isle-of-dogs","Wes Anderson","34340","isle-of-dogs","Isle of Dogs","2018","998","34340-998-20","The Wes Anderson Archive: Ten Films, Twenty-Five Years","Adam Scott"
"https://www.criterion.com/films/34339-the-french-dispatch-of-the-liberty-kansas-evening-sun","Wes Anderson","34339","the-french-dispatch-of-the-liberty-kansas-evening-sun","The French Dispatch of the Liberty, Kansas Evening Sun","2021","998","34339-998-21","The Wes Anderson Archive: Ten Films, Twenty-Five Years","Adam Scott"
"https://www.criterion.com/films/28720-two-days-one-night","Jean-Pierre Dardenne and Luc Dardenne","28720","two-days-one-night","Two Days, One Night","2014","998","28720-998-22","Two Days, One Night","Adam Scott"
"https://www.criterion.com/films/28822-dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb","Stanley Kubrick","28822","dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb","Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb","1964","996","28822-996-1","Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb","Terry Zwigoff"
"https://www.criterion.com/films/724-the-killers","Robert Siodmak","724","the-killers","The Killers","1946","996","724-996-2","The Killers","Terry Zwigoff"
"https://www.criterion.com/films/725-the-killers","Don Siegel","725","the-killers","The Killers","1964","996","725-996-3","The Killers","Terry Zwigoff"
"https://www.criterion.com/films/153-army-of-shadows","Jean-Pierre Melville","153","army-of-shadows","Army of Shadows","1969","996","153-996-4","Army of Shadows","Terry Zwigoff"
"https://www.criterion.com/films/28690-the-asphalt-jungle","John Huston","28690","the-asphalt-jungle","The Asphalt Jungle","1950","996","28690-996-5","The Asphalt Jungle","Terry Zwigoff"
"https://www.criterion.com/films/29569-all-about-my-mother","Pedro Almodóvar","29569","all-about-my-mother","All About My Mother","1999","996","29569-996-6","All About My Mother","Terry Zwigoff"
"https://www.criterion.com/films/150-8-1-2","Federico Fellini","150","8-1-2","8½","1963","995","150-995-1","8½","Matthew McConaughey"
"https://www.criterion.com/films/28604-the-great-beauty","Paolo Sorrentino","28604","the-great-beauty","The Great Beauty","2013","995","28604-995-2","The Great Beauty","Matthew McConaughey"
"https://www.criterion.com/films/28609-tootsie","Sydney Pollack","28609","tootsie","Tootsie","1982","995","28609-995-3","Tootsie","Matthew McConaughey"
"https://www.criterion.com/films/28610-the-big-chill","Lawrence Kasdan","28610","the-big-chill","The Big Chill","1983","995","28610-995-4","The Big Chill","Matthew McConaughey"
"https://www.criterion.com/films/408-slacker","Richard Linklater","408","slacker","Slacker","1991","995","408-995-5","Slacker","Matthew McConaughey"
"https://www.criterion.com/films/314-dazed-and-confused","Richard Linklater","314","dazed-and-confused","Dazed and Confused","1993","995","314-995-6","Dazed and Confused","Matthew McConaughey"
