"collectionId","criterionUrl","picker","publishedOn","recordedOn","title","url"
"419","https://www.criterion.com/shop/collection/419-joanna-hogg-s-closet-picks","Joanna Hogg","2021-07-14","2018-02-27","Joanna Hogg’s Closet Picks","https://www.youtube.com/watch?v=d1BCAKfsoDk"
"420","https://www.criterion.com/shop/collection/420-rodarte-s-closet-picks","Rodarte","2021-09-24","2018-07-13","Rodarte’s Closet Picks","https://www.youtube.com/watch?v=E-drTe77WU8"
"421","https://www.criterion.com/shop/collection/421-kemp-powers-s-closet-picks","Kemp Powers","2021-12-10","2021-11-10","Kemp Powers’s Closet Picks","https://www.youtube.com/watch?v=T2v6g61FgQU"
"422","https://www.criterion.com/shop/collection/422-john-waters-closet-picks","John Water","2019-09-19","2017-07-26","John Waters’ Closet Picks","https://www.youtube.com/watch?v=std013XVxSk"
"423","https://www.criterion.com/shop/collection/423-m-i-a-and-stephen-loveridge-s-closet-picks","M.I.A. and Stephen Loveridge","2018-10-31","2017-11-24","M.I.A. and Stephen Loveridge’s Closet Picks","https://www.youtube.com/watch?v=08UA7zgLanc"
"424","https://www.criterion.com/shop/collection/424-ben-sinclair-s-closet-picks","Ben Sinclair","2020-03-02","2018-07-22","Ben Sinclair’s Closet Picks","https://www.youtube.com/watch?v=dydNJiJ8dCA"
"425","https://www.criterion.com/shop/collection/425-richard-e-grant-s-closet-picks","Richard E. Grant","2019-03-15","2018-01-14","Richard E. Grant’s Closet Picks","https://www.youtube.com/watch?v=OpuQ4-CCct4"
"426","https://www.criterion.com/shop/collection/426-colin-quinn-s-closet-picks","Colin Quinn","2021-11-09","2021-10-12","Colin Quinn’s Closet Picks","https://www.youtube.com/watch?v=suNwxjzS6a8"
"427","https://www.criterion.com/shop/collection/427-nathan-lane-s-closet-picks","Nathan Lane","2021-06-10","2021-04-26","Nathan Lane’s Closet Picks","https://www.youtube.com/watch?v=iQfYMeRjR1g"
"428","https://www.criterion.com/shop/collection/428-claire-denis-closet-picks","Claire Deni","2018-08-08","2017-10-02","Claire Denis’ Closet Picks","https://www.youtube.com/watch?v=60ANFzjSnLo"
"429","https://www.criterion.com/shop/collection/429-john-sayles-s-closet-picks","John Sayles","2019-11-04","2018-03-24","John Sayles’s Closet Picks","https://www.youtube.com/watch?v=g4SrBi2bYiM"
"430","https://www.criterion.com/shop/collection/430-jenni-olson-s-closet-picks","Jenni Olson","2020-08-19","2018-07-03","Jenni Olson’s Closet Picks","https://www.youtube.com/watch?v=oJt67JhZ1EI"
"431","https://www.criterion.com/shop/collection/431-kim-cattrall-s-closet-picks","Kim Cattrall","2019-08-27","2018-02-13","Kim Cattrall’s Closet Picks","https://www.youtube.com/watch?v=o2Lj-2N2EPQ"
"432","https://www.criterion.com/shop/collection/432-gaspar-noe-s-closet-picks","Gaspar Noé","2015-11-05","2015-07-05","Gaspar Noé’s Closet Picks","https://www.youtube.com/watch?v=U_2R7T4-78E"
"433","https://www.criterion.com/shop/collection/433-john-dwyer-s-closet-picks","John Dwyer","2020-09-25","2018-05-11","John Dwyer’s Closet Picks","https://www.youtube.com/watch?v=g_sFEPf61_g"
"434","https://www.criterion.com/shop/collection/434-peter-sarsgaard-s-closet-picks","Peter Sarsgaard","2019-12-18","2019-12-18","Peter Sarsgaard’s Closet Picks","https://www.youtube.com/watch?v=5YxJY2W4b4U"
"435","https://www.criterion.com/shop/collection/435-desiree-akhavan-s-closet-picks","Desiree Akhavan","2020-07-07","2018-06-19","Desiree Akhavan’s Closet Picks","https://www.youtube.com/watch?v=hQWo5_ZJct8"
"436","https://www.criterion.com/shop/collection/436-matthew-modine-s-closet-picks","Matthew Modine","2021-01-15","2018-05-26","Matthew Modine’s Closet Picks","https://www.youtube.com/watch?v=Gugp7YzVuC4"
"437","https://www.criterion.com/shop/collection/437-james-l-brooks-s-closet-picks","James L. Brooks","2021-03-22","2017-12-06","James L. Brooks’s Closet Picks","https://www.youtube.com/watch?v=HRr5Ivc40CI"
"438","https://www.criterion.com/shop/collection/438-flying-lotus-s-closet-picks","Flying Lotus","2018-01-18","2017-03-19","Flying Lotus’s Closet Picks","https://www.youtube.com/watch?v=MAysUV9xN6c"
"439","https://www.criterion.com/shop/collection/439-lucrecia-martel-s-closet-picks","Lucrecia Martel","2018-09-18","2017-09-17","Lucrecia Martel’s Closet Picks","https://www.youtube.com/watch?v=iwhenYVvCVE"
"440","https://www.criterion.com/shop/collection/440-euzhan-palcy-s-closet-picks","Euzhan Palcy","2019-04-25","2017-11-05","Euzhan Palcy’s Closet Picks","https://www.youtube.com/watch?v=L5P4n_sxkA0"
"441","https://www.criterion.com/shop/collection/441-isabel-sandoval-s-closet-picks","Isabel Sandoval","2021-05-03","2021-02-16","Isabel Sandoval’s Closet Picks","https://www.youtube.com/watch?v=NySo5Sggpu0"
