"spine","title","director","country","year","criterion_url","criterion_namespace","criterion_id","criterion_key"
"1","Grand Illusion","Jean Renoir","France","1937","https://www.criterion.com/films/351-grand-illusion","films","351","films:351"
"2","Seven Samurai","Akira Kurosawa","Japan","1954","https://www.criterion.com/films/165-seven-samurai","films","165","films:165"
"3","The Lady Vanishes","Alfred Hitchcock","United Kingdom","1938","https://www.criterion.com/films/358-the-lady-vanishes","films","358","films:358"
"4","Amarcord","Federico Fellini","Italy","1973","https://www.criterion.com/films/208-amarcord","films","208","films:208"
"5","The 400 Blows","François Truffaut","France","1959","https://www.criterion.com/films/151-the-400-blows","films","151","films:151"
"6","Beauty and the Beast","Jean Cocteau","France","1946","https://www.criterion.com/films/177-beauty-and-the-beast","films","177","films:177"
"7","A Night to Remember","Roy Ward Baker","United Kingdom","1958","https://www.criterion.com/films/521-a-night-to-remember","films","521","films:521"
"8","The Killer","John Woo","Hong Kong","1989","https://www.criterion.com/films/231-the-killer","films","231","films:231"
"9","Hard Boiled","John Woo","Hong Kong","1992","https://www.criterion.com/films/523-hard-boiled","films","523","films:523"
"10","Walkabout","Nicolas Roeg","United Kingdom","1971","https://www.criterion.com/films/522-walkabout","films","522","films:522"
"11","The Seventh Seal","Ingmar Bergman","Sweden","1957","https://www.criterion.com/films/173-the-seventh-seal","films","173","films:173"
"12","This Is Spinal Tap","Rob Reiner","United States","1984","https://www.criterion.com/films/317-this-is-spinal-tap","films","317","films:317"
"13","The Silence of the Lambs","Jonathan Demme","United States","1991","https://www.criterion.com/films/528-the-silence-of-the-lambs","films","528","films:528"
"14","Samurai I: Musashi Miyamoto","Hiroshi Inagaki","Japan","1954","https://www.criterion.com/films/529-samurai-i-musashi-miyamoto","films","529","films:529"
"15","Samurai II: Duel at Ichijoji Temple","Hiroshi Inagaki","Japan","1955","https://www.criterion.com/films/530-samurai-ii-duel-at-ichijoji-temple","films","530","films:530"
"16","Samurai III: Duel at Ganryu Island","Hiroshi Inagaki","Japan","1956","https://www.criterion.com/films/531-samurai-iii-duel-at-ganryu-island","films","531","films:531"
"17","Salò, or The 120 Days of Sodom","Pier Paolo Pasolini","Italy","1976","https://www.criterion.com/films/532-salo-or-the-120-days-of-sodom","films","532","films:532"
"18","The Naked Kiss","Samuel Fuller","United States","1964","https://www.criterion.com/films/533-the-naked-kiss","films","533","films:533"
"19","Shock Corridor","Samuel Fuller","United States","1963","https://www.criterion.com/films/534-shock-corridor","films","534","films:534"
"20","Sid & Nancy","Alex Cox","United Kingdom","1986","https://www.criterion.com/films/535-sid-nancy","films","535","films:535"
"21","Dead Ringers","David Cronenberg","United States","1988","https://www.criterion.com/films/541-dead-ringers","films","541","films:541"
"22","Summertime","David Lean","United States","1955","https://www.criterion.com/films/368-summertime","films","368","films:368"
"23","RoboCop","Paul Verhoeven","United States","1987","https://www.criterion.com/films/542-robocop","films","542","films:542"
"24","High and Low","Akira Kurosawa","Japan","1963","https://www.criterion.com/films/543-high-and-low","films","543","films:543"
"25","Alphaville","Jean-Luc Godard","France","1965","https://www.criterion.com/films/207-alphaville","films","207","films:207"
"26","The Long Good Friday","John Mackenzie","United Kingdom","1980","https://www.criterion.com/films/559-the-long-good-friday","films","559","films:559"
"27","Flesh for Frankenstein","Paul Morrissey","United States","1973","https://www.criterion.com/films/562-flesh-for-frankenstein","films","562","films:562"
"28","Blood for Dracula","Paul Morrissey","United States","1974","https://www.criterion.com/films/564-blood-for-dracula","films","564","films:564"
"29","Picnic at Hanging Rock","Peter Weir","Australia","1975","https://www.criterion.com/films/565-picnic-at-hanging-rock","films","565","films:565"
"30","M","Fritz Lang","Germany","1931","https://www.criterion.com/films/558-m","films","558","films:558"
"31","Great Expectations","David Lean","United Kingdom","1946","https://www.criterion.com/films/566-great-expectations","films","566","films:566"
"32","Oliver Twist","David Lean","United Kingdom","1948","https://www.criterion.com/films/567-oliver-twist","films","567","films:567"
"33","Nanook of the North","Robert Flaherty","United States","1922","https://www.criterion.com/films/574-nanook-of-the-north","films","574","films:574"
"34","Andrei Rublev","Andrei Tarkovsky","Soviet Union","1966","https://www.criterion.com/films/300-andrei-rublev","films","300","films:300"
"35","Diabolique","Henri-Georges Clouzot","France","1955","https://www.criterion.com/films/575-diabolique","films","575","films:575"
"36","The Wages of Fear","Henri-Georges Clouzot","France","1953","https://www.criterion.com/films/370-the-wages-of-fear","films","370","films:370"
"37","Time Bandits","Terry Gilliam","United Kingdom","1981","https://www.criterion.com/films/232-time-bandits","films","232","films:232"
"38","Branded to Kill","Seijun Suzuki","Japan","1967","https://www.criterion.com/films/576-branded-to-kill","films","576","films:576"
"39","Tokyo Drifter","Seijun Suzuki","Japan","1966","https://www.criterion.com/films/577-tokyo-drifter","films","577","films:577"
"40","Armageddon","Michael Bay","United States","1998","https://www.criterion.com/films/578-armageddon","films","578","films:578"
