"slug","title","year","director","runtime","imdb","tmdb","times_picked","imdb_url","lb_url"
"2046","2046","2004","Wong Kar-Wai","128","tt0212712","844","8","https://www.imdb.com/title/tt0212712/","https://letterboxd.com/film/2046/"
"a-tale-of-winter","A Tale of Winter","1992","Éric Rohmer","114","tt0104008","10241","4","https://www.imdb.com/title/tt0104008/","https://letterboxd.com/film/a-tale-of-winter/"
"detour","Detour","1945","Edgar G. Ulmer","68","tt0037638","20367","2","https://www.imdb.com/title/tt0037638/","https://letterboxd.com/film/detour/"
"masculin-feminin","Masculin Féminin","1966","Jean-Luc Godard","105","tt0060675","4710","4","https://www.imdb.com/title/tt0060675/","https://letterboxd.com/film/masculin-feminin/"
"eyes-wide-shut","Eyes Wide Shut","1999","Stanley Kubrick","159","tt0120663","345","2","https://www.imdb.com/title/tt0120663/","https://letterboxd.com/film/eyes-wide-shut/"
"samurai-ii-duel-at-ichijoji-temple","Samurai II: Duel at Ichijoji Temple","1955","Hiroshi Inagaki","103","tt0048579","31374","4","https://www.imdb.com/title/tt0048579/","https://letterboxd.com/film/samurai-ii-duel-at-ichijoji-temple/"
"la-pointe-courte","La Pointe Courte","1955","Agnès Varda","80","tt0048499","54436","26","https://www.imdb.com/title/tt0048499/","https://letterboxd.com/film/la-pointe-courte/"
"prince-of-broadway","Prince of Broadway","2008","Sean Baker","102","tt1000769","87081","2","https://www.imdb.com/title/tt1000769/","https://letterboxd.com/film/prince-of-broadway/"
"something-wild","Something Wild","1986","Jonathan Demme","114","tt0091983","11300","4","https://www.imdb.com/title/tt0091983/","https://letterboxd.com/film/something-wild/"
"23rd-psalm-branch","23rd Psalm Branch","1967","Stan Brakhage","63","tt6391052","435421","3","https://www.imdb.com/title/tt6391052/","https://letterboxd.com/film/23rd-psalm-branch/"
"bang-the-drum-slowly-1956","Bang the Drum Slowly","1956","Daniel Petrie","57","tt0202808","365498","1","https://www.imdb.com/title/tt0202808/","https://letterboxd.com/film/bang-the-drum-slowly-1956/"
"tess","Tess","1979","Roman Polanski","172","tt0080009","11121","3","https://www.imdb.com/title/tt0080009/","https://letterboxd.com/film/tess/"
"flow-2024","Flow","2024","Gints Zilbalodis","85","tt4772188","823219","3","https://www.imdb.com/title/tt4772188/","https://letterboxd.com/film/flow-2024/"
"naqoyqatsi","Naqoyqatsi","2002","Godfrey Reggio","89","tt0145937","21925","6","https://www.imdb.com/title/tt0145937/","https://letterboxd.com/film/naqoyqatsi/"
"the-kid","The Kid","1921","Charlie Chaplin","68","tt0012349","10098","4","https://www.imdb.com/title/tt0012349/","https://letterboxd.com/film/the-kid/"
"the-x-from-outer-space","The X from Outer Space","1967","Kazui Nihonmatsu","89","tt0062411","42712","2","https://www.imdb.com/title/tt0062411/","https://letterboxd.com/film/the-x-from-outer-space/"
"beyond-the-hills","Beyond the Hills","2012","Cristian Mungiu","150","tt2258281","103740","2","https://www.imdb.com/title/tt2258281/","https://letterboxd.com/film/beyond-the-hills/"
"jigoku","Jigoku","1960","Nobuo Nakagawa","99","tt0154683","50173","2","https://www.imdb.com/title/tt0154683/","https://letterboxd.com/film/jigoku/"
"a-taste-of-honey","A Taste of Honey","1961","Tony Richardson","100","tt0055506","25062","5","https://www.imdb.com/title/tt0055506/","https://letterboxd.com/film/a-taste-of-honey/"
"trainspotting","Trainspotting","1996","Danny Boyle","94","tt0117951","627","12","https://www.imdb.com/title/tt0117951/","https://letterboxd.com/film/trainspotting/"
"the-last-temptation-of-christ","The Last Temptation of Christ","1988","Martin Scorsese","164","tt0095497","11051","3","https://www.imdb.com/title/tt0095497/","https://letterboxd.com/film/the-last-temptation-of-christ/"
"happy-anniversary","Happy Anniversary","1962","Pierre Étaix, Jean-Claude Carrière","12","tt0056066","139592","1","https://www.imdb.com/title/tt0056066/","https://letterboxd.com/film/happy-anniversary/"
"me-and-you-and-everyone-we-know","Me and You and Everyone We Know","2005","Miranda July","91","tt0415978","1382","3","https://www.imdb.com/title/tt0415978/","https://letterboxd.com/film/me-and-you-and-everyone-we-know/"
"equinox-flower","Equinox Flower","1958","Yasujirō Ozu","118","tt0051720","28272","6","https://www.imdb.com/title/tt0051720/","https://letterboxd.com/film/equinox-flower/"
"the-taste-of-things","The Taste of Things","2023","Trần Anh Hùng","135","tt19760052","964960","1","https://www.imdb.com/title/tt19760052/","https://letterboxd.com/film/the-taste-of-things/"
"lola-montes","Lola Montès","1955","Max Ophüls","116","tt0048308","35987","2","https://www.imdb.com/title/tt0048308/","https://letterboxd.com/film/lola-montes/"
"seconds","Seconds","1966","John Frankenheimer","107","tt0060955","20620","7","https://www.imdb.com/title/tt0060955/","https://letterboxd.com/film/seconds/"
"the-long-day-closes","The Long Day Closes","1992","Terence Davies","85","tt0104753","49956","1","https://www.imdb.com/title/tt0104753/","https://letterboxd.com/film/the-long-day-closes/"
"life-is-sweet","Life Is Sweet","1990","Mike Leigh","103","tt0100024","36843","4","https://www.imdb.com/title/tt0100024/","https://letterboxd.com/film/life-is-sweet/"
"italianamerican","Italianamerican","1974","Martin Scorsese","49","tt0071680","91459","7","https://www.imdb.com/title/tt0071680/","https://letterboxd.com/film/italianamerican/"
"every-man-for-himself","Every Man for Himself","1980","Jean-Luc Godard","87","tt0079854","113479","1","https://www.imdb.com/title/tt0079854/","https://letterboxd.com/film/every-man-for-himself/"
"putney-swope","Putney Swope","1969","Robert Downey Sr.","85","tt0064855","32575","2","https://www.imdb.com/title/tt0064855/","https://letterboxd.com/film/putney-swope/"
"forty-guns","Forty Guns","1957","Samuel Fuller","80","tt0050407","14837","3","https://www.imdb.com/title/tt0050407/","https://letterboxd.com/film/forty-guns/"
"three-colours-red","Three Colours: Red","1994","Krzysztof Kieślowski","100","tt0111495","110","10","https://www.imdb.com/title/tt0111495/","https://letterboxd.com/film/three-colours-red/"
"dheepan","Dheepan","2015","Jacques Audiard","115","tt4082068","314402","3","https://www.imdb.com/title/tt4082068/","https://letterboxd.com/film/dheepan/"
"the-asphalt-jungle","The Asphalt Jungle","1950","John Huston","113","tt0042208","16958","2","https://www.imdb.com/title/tt0042208/","https://letterboxd.com/film/the-asphalt-jungle/"
"code-unknown","Code Unknown","2000","Michael Haneke","118","tt0216625","30970","2","https://www.imdb.com/title/tt0216625/","https://letterboxd.com/film/code-unknown/"
"destry-rides-again","Destry Rides Again","1939","George Marshall","94","tt0031225","43828","2","https://www.imdb.com/title/tt0031225/","https://letterboxd.com/film/destry-rides-again/"
"germany-year-zero","Germany, Year Zero","1948","Roberto Rossellini","74","tt0039417","8016","5","https://www.imdb.com/title/tt0039417/","https://letterboxd.com/film/germany-year-zero/"
"emitai","Emitaï","1971","Ousmane Sembène","101","tt0067048","128395","3","https://www.imdb.com/title/tt0067048/","https://letterboxd.com/film/emitai/"
"that-nights-wife","That Night's Wife","1930","Yasujirō Ozu","66","tt0021406","49308","1","https://www.imdb.com/title/tt0021406/","https://letterboxd.com/film/that-nights-wife/"
"wings-of-desire","Wings of Desire","1987","Wim Wenders","128","tt0093191","144","5","https://www.imdb.com/title/tt0093191/","https://letterboxd.com/film/wings-of-desire/"
"maxwells-demon","Maxwell's Demon","1968","Hollis Frampton","4","tt0130854","154525","1","https://www.imdb.com/title/tt0130854/","https://letterboxd.com/film/maxwells-demon/"
"army-of-shadows","Army of Shadows","1969","Jean-Pierre Melville","145","tt0064040","15383","3","https://www.imdb.com/title/tt0064040/","https://letterboxd.com/film/army-of-shadows/"
"mikey-and-nicky","Mikey and Nicky","1976","Elaine May","106","tt0074901","59143","9","https://www.imdb.com/title/tt0074901/","https://letterboxd.com/film/mikey-and-nicky/"
"made-in-usa","Made in U.S.A","1966","Jean-Luc Godard","85","tt0060647","29369","2","https://www.imdb.com/title/tt0060647/","https://letterboxd.com/film/made-in-usa/"
"the-long-good-friday","The Long Good Friday","1980","John Mackenzie","114","tt0081070","14807","2","https://www.imdb.com/title/tt0081070/","https://letterboxd.com/film/the-long-good-friday/"
