"name","slug","visit_date","visit_year","is_group","occupations","n_picks","video","list_url"
"Udo Kier","udo-kiers-criterion-closet-picks","2023-10-12","2023","0","actors","4","https://www.youtube.com/watch?v=td4qv7EDOIk","https://letterboxd.com/closetpicks/list/udo-kiers-criterion-closet-picks/"
"Bob Odenkirk","bob-odenkirks-criterion-closet-picks","2026-04-07","2026","0","actors;directors;writers;comedians","29","https://youtu.be/_SDB919kWLo","https://letterboxd.com/closetpicks/list/bob-odenkirks-criterion-closet-picks/"
"Gregg Araki","gregg-arakis-criterion-closet-picks","2023-06-01","2023","0","directors","7","https://www.youtube.com/watch?v=Nl_6j3NDZjw","https://letterboxd.com/closetpicks/list/gregg-arakis-criterion-closet-picks/"
"Ryan Coogler","ryan-cooglers-criterion-closet-picks","2025-04-30","2025","0","directors;writers","9","https://www.youtube.com/watch?v=V_wzBKheKEE","https://letterboxd.com/closetpicks/list/ryan-cooglers-criterion-closet-picks/"
"Ira Sachs","ira-sachs-criterion-closet-picks","2016-08-09","2016","0","directors;writers","16","https://www.youtube.com/watch?v=FA4mnGD5Qi8","https://letterboxd.com/closetpicks/list/ira-sachs-criterion-closet-picks/"
"Paul B. Preciado","paul-b-preciados-criterion-closet-picks","2023-10-02","2023","0","directors;writers;philosophers","20","https://www.youtube.com/watch?v=XqDpc-bnT_U","https://letterboxd.com/closetpicks/list/paul-b-preciados-criterion-closet-picks/"
"Natasha Lyonne","natasha-lyonnes-criterion-closet-picks","2025-05-07","2025","0","actors;producers;writers;directors","34","https://www.youtube.com/watch?v=sNUAkiIoTFk","https://letterboxd.com/closetpicks/list/natasha-lyonnes-criterion-closet-picks/"
"Jean-Pierre and Luc Dardenne","jean-pierre-and-luc-dardennes-criterion-closet","2023-07-18","2023","1","writers;directors","9","https://www.youtube.com/watch?v=6sTDUur1III","https://letterboxd.com/closetpicks/list/jean-pierre-and-luc-dardennes-criterion-closet/"
"Owen Kline","owen-klines-criterion-closet-picks","2016-12-02","2016","0","actors;directors","21","https://www.youtube.com/watch?v=zrllJjiEYg8","https://letterboxd.com/closetpicks/list/owen-klines-criterion-closet-picks/"
"Joachim Trier","joachim-triers-criterion-closet-picks","2016-04-14","2016","0","directors","32","https://www.youtube.com/watch?v=qF3qYnnuGxI","https://letterboxd.com/closetpicks/list/joachim-triers-criterion-closet-picks/"
"Coralie Fargeat","coralie-fargeats-criterion-closet-picks","2024-09-19","2024","0","directors;writers;producers","5","","https://letterboxd.com/closetpicks/list/coralie-fargeats-criterion-closet-picks/"
"Lee Unkrich","lee-unkrichs-criterion-closet-picks","2018-02-13","2018","0","","12","https://www.youtube.com/watch?v=WnO5_ZfUDoM","https://letterboxd.com/closetpicks/list/lee-unkrichs-criterion-closet-picks/"
"Rob Delaney","rob-delaneys-criterion-closet-picks","2025-03-30","2025","0","writers;actors;comedians","8","https://www.youtube.com/watch?v=lbF3XIDKM8Y","https://letterboxd.com/closetpicks/list/rob-delaneys-criterion-closet-picks/"
"RZA","rzas-criterion-closet-picks","2025-05-26","2025","0","musicians;actors;directors;composers","25","https://www.youtube.com/watch?v=4BOvz4Z6eM8","https://letterboxd.com/closetpicks/list/rzas-criterion-closet-picks/"
"Mikey Madison","mikey-madisons-criterion-closet-picks","2024-12-19","2024","0","actors","9","https://youtu.be/9AUc5BfebCM","https://letterboxd.com/closetpicks/list/mikey-madisons-criterion-closet-picks/"
"Jude Law","jude-laws-criterion-closet-picks","2024-06-10","2024","0","actors","4","","https://letterboxd.com/closetpicks/list/jude-laws-criterion-closet-picks/"
"Marie Kreutzer","marie-kreutzers-criterion-closet-picks","2022-12-27","2022","0","directors","3","","https://letterboxd.com/closetpicks/list/marie-kreutzers-criterion-closet-picks/"
"John C. Reilly","john-c-reillys-criterion-closet-picks","2026-04-06","2026","0","actors","6","https://youtu.be/vJn8q_oBWlc?si=i-kwWFfJnThjEy_z","https://letterboxd.com/closetpicks/list/john-c-reillys-criterion-closet-picks/"
"Matt Wolf","matt-wolfs-criterion-closet-picks","2023-09-25","2023","0","202;directors","2","","https://letterboxd.com/closetpicks/list/matt-wolfs-criterion-closet-picks/"
