"event_type","event_title","event_url","criterion_url","director","list_position","published_rank","title"
"written_top_ten","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","https://www.criterion.com/films/29567-to-sleep-with-anger","Charles Burnett","1","1","To Sleep with Anger"
"written_top_ten","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","https://www.criterion.com/films/34233-killer-of-sheep","Charles Burnett","2","2","Killer of Sheep"
"written_top_ten","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","https://www.criterion.com/films/28712-mccabe-mrs-miller","Robert Altman","3","3","McCabe & Mrs. Miller"
"written_top_ten","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","https://www.criterion.com/films/781-yi-yi","Edward Yang","4","4","Yi Yi"
"written_top_ten","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","https://www.criterion.com/films/35306-marie-antoinette","Sofia Coppola","5","5","Marie Antoinette"
"written_top_ten","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","https://www.criterion.com/films/28834-the-age-of-innocence","Martin Scorsese","6","6","The Age of Innocence"
"written_top_ten","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","https://www.criterion.com/films/29461-matewan","John Sayles","7","7","Matewan"
"written_top_ten","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","https://www.criterion.com/films/32845-fresh-kill","Shu Lea Cheang","8","8","Fresh Kill"
"written_top_ten","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","https://www.criterion.com/films/30530-buck-and-the-preacher","Sidney Poitier","9","9","Buck and the Preacher"
"written_top_ten","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","https://www.criterion.com/films/28058-the-game","David Fincher","10","10","The Game"
"written_top_ten","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","https://www.criterion.com/films/31319-the-damned","Luchino Visconti","1","1","The Damned"
"written_top_ten","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","https://www.criterion.com/films/30460-double-indemnity","Billy Wilder","2","2","Double Indemnity"
"written_top_ten","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","https://www.criterion.com/films/29024-mean-streets","Martin Scorsese","3","3","Mean Streets"
"written_top_ten","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","https://www.criterion.com/films/633-i-know-where-i-m-going","Michael Powell and Emeric Pressburger","4","4","I Know Where I’m Going!"
"written_top_ten","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","https://www.criterion.com/films/28635-muriel-or-the-time-of-return","Alain Resnais","5","5","Muriel, or The Time of Return"
"written_top_ten","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","https://www.criterion.com/films/28549-every-man-for-himself","Jean-Luc Godard","6","6","Every Man for Himself"
"written_top_ten","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","https://www.criterion.com/films/28105-the-decameron","Pier Paolo Pasolini","7","7  (tie)","The Decameron"
"written_top_ten","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","https://www.criterion.com/films/28106-the-canterbury-tales","Pier Paolo Pasolini","8","","The Canterbury Tales"
"written_top_ten","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","https://www.criterion.com/films/28374-arabian-nights","Pier Paolo Pasolini","9","","Arabian Nights"
"written_top_ten","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","https://www.criterion.com/films/333-rushmore","Wes Anderson","10","8","Rushmore"
"written_top_ten","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","https://www.criterion.com/films/27968-shoah","Claude Lanzmann","11","9","Shoah"
