"criterion_list_id","event_title","event_url","list_position","title","director","criterion_url","published_rank","criterion_namespace","criterion_id","criterion_key"
"999","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","1","To Sleep with Anger","Charles Burnett","https://www.criterion.com/films/29567-to-sleep-with-anger","1","films","29567","films:29567"
"999","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","2","Killer of Sheep","Charles Burnett","https://www.criterion.com/films/34233-killer-of-sheep","2","films","34233","films:34233"
"999","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","3","McCabe & Mrs. Miller","Robert Altman","https://www.criterion.com/films/28712-mccabe-mrs-miller","3","films","28712","films:28712"
"999","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","4","Yi Yi","Edward Yang","https://www.criterion.com/films/781-yi-yi","4","films","781","films:781"
"999","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","5","Marie Antoinette","Sofia Coppola","https://www.criterion.com/films/35306-marie-antoinette","5","films","35306","films:35306"
"999","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","6","The Age of Innocence","Martin Scorsese","https://www.criterion.com/films/28834-the-age-of-innocence","6","films","28834","films:28834"
"999","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","7","Matewan","John Sayles","https://www.criterion.com/films/29461-matewan","7","films","29461","films:29461"
"999","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","8","Fresh Kill","Shu Lea Cheang","https://www.criterion.com/films/32845-fresh-kill","8","films","32845","films:32845"
"999","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","9","Buck and the Preacher","Sidney Poitier","https://www.criterion.com/films/30530-buck-and-the-preacher","9","films","30530","films:30530"
"999","Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","10","The Game","David Fincher","https://www.criterion.com/films/28058-the-game","10","films","28058","films:28058"
"994","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","1","The Damned","Luchino Visconti","https://www.criterion.com/films/31319-the-damned","1","films","31319","films:31319"
"994","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","2","Double Indemnity","Billy Wilder","https://www.criterion.com/films/30460-double-indemnity","2","films","30460","films:30460"
"994","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","3","Mean Streets","Martin Scorsese","https://www.criterion.com/films/29024-mean-streets","3","films","29024","films:29024"
"994","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","4","I Know Where I’m Going!","Michael Powell and Emeric Pressburger","https://www.criterion.com/films/633-i-know-where-i-m-going","4","films","633","films:633"
"994","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","5","Muriel, or The Time of Return","Alain Resnais","https://www.criterion.com/films/28635-muriel-or-the-time-of-return","5","films","28635","films:28635"
"994","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","6","Every Man for Himself","Jean-Luc Godard","https://www.criterion.com/films/28549-every-man-for-himself","6","films","28549","films:28549"
"994","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","7","The Decameron","Pier Paolo Pasolini","https://www.criterion.com/films/28105-the-decameron","7  (tie)","films","28105","films:28105"
"994","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","8","The Canterbury Tales","Pier Paolo Pasolini","https://www.criterion.com/films/28106-the-canterbury-tales","","films","28106","films:28106"
"994","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","9","Arabian Nights","Pier Paolo Pasolini","https://www.criterion.com/films/28374-arabian-nights","","films","28374","films:28374"
"994","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","10","Rushmore","Wes Anderson","https://www.criterion.com/films/333-rushmore","8","films","333","films:333"
"994","Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","11","Shoah","Claude Lanzmann","https://www.criterion.com/films/27968-shoah","9","films","27968","films:27968"
