"selector_label","title","director","criterion_url","source","published_rank"
"Nina Menkes","Andrei Rublev","Andrei Tarkovsky","https://www.criterion.com/films/300-andrei-rublev","https://github.com/brittonwalker/criterion-top-ten",""
"Karim Aïnouz","Andrei Rublev","Andrei Tarkovsky","https://www.criterion.com/films/300-andrei-rublev","https://github.com/brittonwalker/criterion-top-ten",""
"Ali Abbasi","Andrei Rublev","Andrei Tarkovsky","https://www.criterion.com/films/300-andrei-rublev","https://github.com/brittonwalker/criterion-top-ten",""
"Annie Baker","Andrei Rublev","Andrei Tarkovsky","https://www.criterion.com/films/300-andrei-rublev","https://github.com/brittonwalker/criterion-top-ten",""
"André Gregory and Wallace Shawn","Andrei Rublev","Andrei Tarkovsky","https://www.criterion.com/films/300-andrei-rublev","https://github.com/brittonwalker/criterion-top-ten",""
"Olivier Assayas","Andrei Rublev","Andrei Tarkovsky","https://www.criterion.com/films/300-andrei-rublev","https://github.com/brittonwalker/criterion-top-ten",""
"Daniel Lopatin","Andrei Rublev","Andrei Tarkovsky","https://www.criterion.com/films/300-andrei-rublev","https://github.com/brittonwalker/criterion-top-ten",""
"Götz Spielmann","Andrei Rublev","Andrei Tarkovsky","https://www.criterion.com/films/300-andrei-rublev","https://github.com/brittonwalker/criterion-top-ten",""
"Richard Linklater","Andrei Rublev","Andrei Tarkovsky","https://www.criterion.com/films/300-andrei-rublev","https://github.com/brittonwalker/criterion-top-ten",""
"Nina Menkes","The Passion of Joan of Arc","Carl Th. Dreyer","https://www.criterion.com/films/228-the-passion-of-joan-of-arc","https://github.com/brittonwalker/criterion-top-ten",""
"David and Nathan Zellner","The Passion of Joan of Arc","Carl Th. Dreyer","https://www.criterion.com/films/228-the-passion-of-joan-of-arc","https://github.com/brittonwalker/criterion-top-ten",""
"Jennifer Reeder","The Passion of Joan of Arc","Carl Th. Dreyer","https://www.criterion.com/films/228-the-passion-of-joan-of-arc","https://github.com/brittonwalker/criterion-top-ten",""
"Bruce Beresford","The Passion of Joan of Arc","Carl Th. Dreyer","https://www.criterion.com/films/228-the-passion-of-joan-of-arc","https://github.com/brittonwalker/criterion-top-ten",""
"Michael Atkinson","The Passion of Joan of Arc","Carl Th. Dreyer","https://www.criterion.com/films/228-the-passion-of-joan-of-arc","https://github.com/brittonwalker/criterion-top-ten",""
"Caitlin Kuhwald","The Passion of Joan of Arc","Carl Th. Dreyer","https://www.criterion.com/films/228-the-passion-of-joan-of-arc","https://github.com/brittonwalker/criterion-top-ten",""
"Nina Menkes","Vagabond","Agnès Varda","https://www.criterion.com/films/245-vagabond","https://github.com/brittonwalker/criterion-top-ten",""
"Amy Seimetz","Vagabond","Agnès Varda","https://www.criterion.com/films/245-vagabond","https://github.com/brittonwalker/criterion-top-ten",""
"Dennis Lim","Vagabond","Agnès Varda","https://www.criterion.com/films/245-vagabond","https://github.com/brittonwalker/criterion-top-ten",""
