"title","slug","criterion_spine_number","director","year","country","genres","criterion_url","imdb_id","imdb_url","tmdb_id","tmdb_url","letterboxd_url","pick_count","is_box_set","credits","tmdb_type"
"¡Alambrista!","alambrista","609","Robert M. Young","1977","","[""Drama""]","https://www.criterion.com/films/28101--alambrista","tt0075654","https://www.imdb.com/title/tt0075654/","86975","https://www.themoviedb.org/movie/86975","https://letterboxd.com/tmdb/86975","1","0","{""directors"":[{""name"":""Robert M. Young"",""tmdb_id"":86293}],""writers"":[{""name"":""Robert M. Young"",""tmdb_id"":86293}],""cinematographers"":[{""name"":""Robert M. Young"",""tmdb_id"":86293}],""editors"":[{""name"":""Norman Buckley"",""tmdb_id"":51915},{""name"":""Edward Beyer"",""tmdb_id"":1609399}],""cast"":[{""name"":""Domingo Ambriz"",""tmdb_id"":937884,""character"":""Roberto""},{""name"":""Trinidad Silva"",""tmdb_id"":146798,""character"":""Joe""},{""name"":""Linda Gillen"",""tmdb_id"":198980,""character"":""Sharon""},{""name"":""Ned Beatty"",""tmdb_id"":13726,""character"":""Anglo Coyote""},{""name"":""Jerry Hardin"",""tmdb_id"":89141,""character"":""Man in cafe""},{""name"":""Julius Harris"",""tmdb_id"":6772,""character"":""2nd Drunk""},{""name"":""Edward James Olmos"",""tmdb_id"":587,""character"":""1st Drunk""},{""name"":""Ludevina Mendez Salazar"",""tmdb_id"":4694640,""character"":""Roberto's Wife""}]}",""
"‘Round Midnight","round-midnight","1122","Bertrand Tavernier","1986","","[""Drama"",""Music""]","https://www.criterion.com/films/29031--round-midnight","tt0090557","https://www.imdb.com/title/tt0090557/","14670","https://www.themoviedb.org/movie/14670","https://letterboxd.com/tmdb/14670","7","0","{""directors"":[{""name"":""Bertrand Tavernier"",""tmdb_id"":20556}],""writers"":[{""name"":""David Rayfiel"",""tmdb_id"":11056},{""name"":""Bertrand Tavernier"",""tmdb_id"":20556}],""cinematographers"":[{""name"":""Bruno de Keyzer"",""tmdb_id"":50521}],""editors"":[{""name"":""Armand Psenny"",""tmdb_id"":21169}],""cast"":[{""name"":""Dexter Gordon"",""tmdb_id"":77135,""character"":""Dale Turner""},{""name"":""François Cluzet"",""tmdb_id"":33161,""character"":""Francis Borler""},{""name"":""Gabrielle Haker"",""tmdb_id"":244385,""character"":""Bérangère""},{""name"":""Christine Pascal"",""tmdb_id"":3200,""character"":""Sylvie""},{""name"":""Pierre Trabaud"",""tmdb_id"":145442,""character"":""le père de Francis""},{""name"":""Frédérique Meininger"",""tmdb_id"":40582,""character"":""la mère de Francis""},{""name"":""Liliane Rovère"",""tmdb_id"":36513,""character"":""Madame Queen""},{""name"":""Ged Marlon"",""tmdb_id"":30644,""character"":""Beau""}]}",""
"12 Angry Men","12-angry-men","591","Sidney Lumet","1957","","[""Drama""]","https://www.criterion.com/films/27871-12-angry-men","tt0050083","https://www.imdb.com/title/tt0050083/","389","https://www.themoviedb.org/movie/389","https://letterboxd.com/tmdb/389","11","0","{""directors"":[{""name"":""Sidney Lumet"",""tmdb_id"":39996}],""writers"":[{""name"":""Reginald Rose"",""tmdb_id"":5246}],""cinematographers"":[{""name"":""Boris Kaufman"",""tmdb_id"":5261}],""editors"":[{""name"":""Carl Lerner"",""tmdb_id"":5262}],""cast"":[{""name"":""Martin Balsam"",""tmdb_id"":1936,""character"":""Juror 1""},{""name"":""John Fiedler"",""tmdb_id"":5247,""character"":""Juror 2""},{""name"":""Lee J. Cobb"",""tmdb_id"":5248,""character"":""Juror 3""},{""name"":""E.G. Marshall"",""tmdb_id"":5249,""character"":""Juror 4""},{""name"":""Jack Klugman"",""tmdb_id"":5250,""character"":""Juror 5""},{""name"":""Edward Binns"",""tmdb_id"":2651,""character"":""Juror 6""},{""name"":""Jack Warden"",""tmdb_id"":5251,""character"":""Juror 7""},{""name"":""Henry Fonda"",""tmdb_id"":4958,""character"":""Juror 8""}]}",""
"1984","1984","984","Michael Radford","1984","","[""Drama"",""Science Fiction"",""Thriller""]","https://www.criterion.com/films/29140-1984","tt0087803","https://www.imdb.com/title/tt0087803/","9314","https://www.themoviedb.org/movie/9314","https://letterboxd.com/tmdb/9314","2","0","{""directors"":[{""name"":""Michael Radford"",""tmdb_id"":28898}],""writers"":[{""name"":""Michael Radford"",""tmdb_id"":28898}],""cinematographers"":[{""name"":""Roger Deakins"",""tmdb_id"":151}],""editors"":[{""name"":""Tom Priestley"",""tmdb_id"":25633}],""cast"":[{""name"":""John Hurt"",""tmdb_id"":5049,""character"":""Winston Smith""},{""name"":""Richard Burton"",""tmdb_id"":5341,""character"":""O'Brien""},{""name"":""Suzanna Hamilton"",""tmdb_id"":10652,""character"":""Julia""},{""name"":""Cyril Cusack"",""tmdb_id"":4973,""character"":""Charrington""},{""name"":""Gregor Fisher"",""tmdb_id"":7053,""character"":""Parsons""},{""name"":""James Walker"",""tmdb_id"":208920,""character"":""Syme""},{""name"":""Andrew Wilde"",""tmdb_id"":26861,""character"":""Tillotson""},{""name"":""David Cann"",""tmdb_id"":193340,""character"":""Martin""}]}",""
"2 or 3 Things I Know About Her","2-or-3-things-i-know-about-her","482","Jean-Luc Godard","1967","","[""Comedy"",""Drama""]","https://www.criterion.com/films/1333-2-or-3-things-i-know-about-her","tt0060304","https://www.imdb.com/title/tt0060304/","8074","https://www.themoviedb.org/movie/8074","https://letterboxd.com/tmdb/8074","2","0","{""directors"":[{""name"":""Jean-Luc Godard"",""tmdb_id"":3776}],""writers"":[{""name"":""Jean-Luc Godard"",""tmdb_id"":3776}],""cinematographers"":[{""name"":""Raoul Coutard"",""tmdb_id"":3540}],""editors"":[{""name"":""Françoise Collin"",""tmdb_id"":28097},{""name"":""Chantal Delattre"",""tmdb_id"":36522}],""cast"":[{""name"":""Marina Vlady"",""tmdb_id"":14813,""character"":""Juliette Jeanson""},{""name"":""Jean-Luc Godard"",""tmdb_id"":3776,""character"":""Narrator (voice)""},{""name"":""Anny Duperey"",""tmdb_id"":24475,""character"":""Marianne""},{""name"":""Roger Montsoret"",""tmdb_id"":53912,""character"":""Robert Jeanson""},{""name"":""Raoul Lévy"",""tmdb_id"":37775,""character"":""John Bogus, the American""},{""name"":""Jean Narboni"",""tmdb_id"":53913,""character"":""Roger""},{""name"":""Yves Beneyton"",""tmdb_id"":24399,""character"":""Young Man""},{""name"":""Juliet Berto"",""tmdb_id"":18228,""character"":""Girl Talking to Robert""}]}",""
"24 Frames","24-frames","956","Abbas Kiarostami","2018","","[""Drama""]","https://www.criterion.com/films/29399-24-frames","tt6777170","https://www.imdb.com/title/tt6777170/","377269","https://www.themoviedb.org/movie/377269","https://letterboxd.com/tmdb/377269","1","0","{""directors"":[{""name"":""Abbas Kiarostami"",""tmdb_id"":119294}],""writers"":[],""cinematographers"":[],""editors"":[],""cast"":[{""name"":""Farhad Farhadi"",""tmdb_id"":3454949,""character"":""""},{""name"":""Salma Mansh"",""tmdb_id"":5365096,""character"":""""},{""name"":""Soheyla Bazigar"",""tmdb_id"":5365099,""character"":""""},{""name"":""Shabnam Taghadom"",""tmdb_id"":5365100,""character"":""""},{""name"":""Hedyeh Esfahani"",""tmdb_id"":5365101,""character"":""""},{""name"":""Reza Golfaam"",""tmdb_id"":5365102,""character"":""""},{""name"":""Bahman Raad"",""tmdb_id"":5365103,""character"":""""},{""name"":""Shahab Ehsani"",""tmdb_id"":5365104,""character"":""""}]}",""
"3 Women","3-women","230","Robert Altman","1977","","[""Drama""]","https://www.criterion.com/films/712-3-women","tt0075612","https://www.imdb.com/title/tt0075612/","41662","https://www.themoviedb.org/movie/41662","https://letterboxd.com/tmdb/41662","9","0","{""directors"":[{""name"":""Robert Altman"",""tmdb_id"":9789}],""writers"":[{""name"":""Robert Altman"",""tmdb_id"":9789},{""name"":""Patricia Resnick"",""tmdb_id"":133489}],""cinematographers"":[{""name"":""Charles Rosher Jr."",""tmdb_id"":41151}],""editors"":[{""name"":""Dennis M. Hill"",""tmdb_id"":30606}],""cast"":[{""name"":""Shelley Duvall"",""tmdb_id"":10409,""character"":""Mildred \""Millie\"" Lammoreaux""},{""name"":""Sissy Spacek"",""tmdb_id"":5606,""character"":""Mildred \""Pinky\"" Rose""},{""name"":""Janice Rule"",""tmdb_id"":20604,""character"":""Willie Hart""},{""name"":""Robert Fortier"",""tmdb_id"":166790,""character"":""Edgar Hart""},{""name"":""Ruth Nelson"",""tmdb_id"":67761,""character"":""Mrs. Rose""},{""name"":""John Cromwell"",""tmdb_id"":31497,""character"":""Mr. Rose""},{""name"":""Sierra Pecheur"",""tmdb_id"":170074,""character"":""Ms. Bunweill""},{""name"":""Craig Richard Nelson"",""tmdb_id"":132371,""character"":""Doctor Maas""}]}",""
"3:10 to Yuma","310-to-yuma","657","Delmer Daves","1957","","[""Western"",""Drama"",""Thriller""]","https://www.criterion.com/films/27910-3-10-to-yuma","tt0050086","https://www.imdb.com/title/tt0050086/","14168","https://www.themoviedb.org/movie/14168","https://letterboxd.com/tmdb/14168","3","0","{""directors"":[{""name"":""Delmer Daves"",""tmdb_id"":76981}],""writers"":[{""name"":""Halsted Welles"",""tmdb_id"":115328}],""cinematographers"":[{""name"":""Charles Lawton Jr."",""tmdb_id"":18576}],""editors"":[{""name"":""Al Clark"",""tmdb_id"":117774}],""cast"":[{""name"":""Glenn Ford"",""tmdb_id"":3381,""character"":""Ben Wade""},{""name"":""Van Heflin"",""tmdb_id"":18803,""character"":""Dan Evans""},{""name"":""Felicia Farr"",""tmdb_id"":76979,""character"":""Emmy""},{""name"":""Leora Dana"",""tmdb_id"":76980,""character"":""Mrs. Alice Evans""},{""name"":""Henry Jones"",""tmdb_id"":5732,""character"":""Alex Potter""},{""name"":""Richard Jaeckel"",""tmdb_id"":58423,""character"":""Charlie Prince""},{""name"":""Robert Emhardt"",""tmdb_id"":83826,""character"":""Mr. Butterfield""},{""name"":""Sheridan Comerate"",""tmdb_id"":139613,""character"":""Bob Moons""}]}",""
"4 Months, 3 Weeks and 2 Days","4-months-3-weeks-and-2-days","958","Cristian Mungiu","2007","","[""Drama""]","https://www.criterion.com/films/28617-4-months-3-weeks-and-2-days","tt1032846","https://www.imdb.com/title/tt1032846/","2009","https://www.themoviedb.org/movie/2009","https://letterboxd.com/tmdb/2009","2","0","{""directors"":[{""name"":""Cristian Mungiu"",""tmdb_id"":20657}],""writers"":[{""name"":""Cristian Mungiu"",""tmdb_id"":20657}],""cinematographers"":[{""name"":""Oleg Mutu"",""tmdb_id"":20701}],""editors"":[{""name"":""Dana Bunescu"",""tmdb_id"":20700}],""cast"":[{""name"":""Anamaria Marinca"",""tmdb_id"":20699,""character"":""Otilia""},{""name"":""Laura Vasiliu"",""tmdb_id"":20698,""character"":""Găbiță""},{""name"":""Vlad Ivanov"",""tmdb_id"":39959,""character"":""Domnu' Bebe""},{""name"":""Alexandru Potocean"",""tmdb_id"":39960,""character"":""Adi""},{""name"":""Luminița Gheorghiu"",""tmdb_id"":39961,""character"":""Mrs. Radu""},{""name"":""Adi Cărăuleanu"",""tmdb_id"":39962,""character"":""Dr. Radu""},{""name"":""Liliana Mocanu"",""tmdb_id"":122784,""character"":""Unireal Hotel receptionist""},{""name"":""Doru Ana"",""tmdb_id"":145241,""character"":""Gas pump attendant""}]}",""
"8½","812","140","Federico Fellini","1963","","[""Drama""]","https://www.criterion.com/films/150-8-1-2","tt0056801","https://www.imdb.com/title/tt0056801/","422","https://www.themoviedb.org/movie/422","https://letterboxd.com/tmdb/422","18","0","{""directors"":[{""name"":""Federico Fellini"",""tmdb_id"":4415}],""writers"":[{""name"":""Federico Fellini"",""tmdb_id"":4415},{""name"":""Brunello Rondi"",""tmdb_id"":5678},{""name"":""Tullio Pinelli"",""tmdb_id"":5396},{""name"":""Ennio Flaiano"",""tmdb_id"":5397}],""cinematographers"":[{""name"":""Gianni Di Venanzo"",""tmdb_id"":5680}],""editors"":[{""name"":""Leo Catozzo"",""tmdb_id"":1848241}],""cast"":[{""name"":""Marcello Mastroianni"",""tmdb_id"":5676,""character"":""Guido Anselmi""},{""name"":""Claudia Cardinale"",""tmdb_id"":4959,""character"":""Claudia""},{""name"":""Anouk Aimée"",""tmdb_id"":5682,""character"":""Luisa Anselmi""},{""name"":""Sandra Milo"",""tmdb_id"":5683,""character"":""Carla""},{""name"":""Rossella Falk"",""tmdb_id"":5684,""character"":""Rossella""},{""name"":""Barbara Steele"",""tmdb_id"":5685,""character"":""Gloria Morin""},{""name"":""Madeleine Lebeau"",""tmdb_id"":4116,""character"":""Madeleine, the French Actress""},{""name"":""Caterina Boratto"",""tmdb_id"":5686,""character"":""Mysterious Lady""}]}",""
