"name","slug","profession","youtube_video_id","youtube_video_url","vimeo_video_id","episode_date","letterboxd_list_url","criterion_page_url","pick_count","visits","featured_film_slug","visit_count","source","tmdb_person_id","tmdb_id"
"Adam Scott","adam-scott","actor","uzH9Fjb2x4w","https://www.youtube.com/watch?v=uzH9Fjb2x4w","","2026-08-28","","https://www.criterion.com/shop/collection/998-adam-scott-s-closet-picks","11","","","","","",""
"Adrian Utley","adrian-utley","musician","ZqNSY5xz_r8","https://www.youtube.com/watch?v=ZqNSY5xz_r8","","2011-10-05","","https://www.criterion.com/shop/collection/648-adrian-utley-s-closet-picks","5","","","","","",""
"Agnès B.","agnes-b","producer","KnBJbIzYI80","https://www.youtube.com/watch?v=KnBJbIzYI80","","2023-07-03","","https://www.criterion.com/shop/collection/560-agnes-b-s-closet-picks","7","","","","","",""
"Agnes Varda","agnes-varda","director","s7Jx0Pjq_kQ","https://www.youtube.com/watch?v=s7Jx0Pjq_kQ","","2017-10-04","","https://www.criterion.com/shop/collection/472-agnes-varda-s-closet-picks","7","","","","","",""
"Agnieszka Holland","agnieszka-holland","director","pU-zkQTKtpQ","https://www.youtube.com/watch?v=pU-zkQTKtpQ","","2024-09-17","","https://www.criterion.com/shop/collection/683-agnieszka-holland-s-closet-picks","6","","","","","",""
"Aimee Lou Wood","aimee-lou-wood","actor","LDGACubU99g","https://www.youtube.com/watch?v=LDGACubU99g","","2025-05-16","","https://www.criterion.com/shop/collection/808-aimee-lou-wood-s-closet-picks","9","","","","","",""
"Alain Guiraudie","alain-guiraudie","director","OVhzNXX1GIk","https://www.youtube.com/watch?v=OVhzNXX1GIk","","2025-03-21","","https://www.criterion.com/shop/collection/792-alain-guiraudie-s-closet-picks","6","","","","","",""
"Alan Palomo","alan-palomo","musician","OQ0TJ1IkZIo","https://www.youtube.com/watch?v=OQ0TJ1IkZIo","","2023-09-28","","https://www.criterion.com/shop/collection/580-alan-palomo-s-closet-picks","8","","","","","",""
"Alden Ehrenreich","alden-ehrenreich","actor","Q47Wpmx2dDI","https://www.youtube.com/watch?v=Q47Wpmx2dDI","","2023-11-03","","https://www.criterion.com/shop/collection/587-alden-ehrenreich-s-closet-picks","8","","","","","",""
"Alec Baldwin","alec-baldwin","actor","aRQ4DRUIJBc","https://www.youtube.com/watch?v=aRQ4DRUIJBc","","2013-05-09","","https://www.criterion.com/shop/collection/525-alec-baldwin-s-closet-picks","3","","","","","",""
"Alessandro Borghi, Felix van Groeningen, and Charlotte Vandermeersch","alessandro-borghi-felix-van-groeningen-and-charlotte-vandermeersch","actor","gDK8bLi2PoA","https://www.youtube.com/watch?v=gDK8bLi2PoA","","2023-05-19","","https://www.criterion.com/shop/collection/551-alessandro-borghi-felix-van-groeningen-and-charlotte-vandermeersch-s-closet-picks","6","","","","","",""
"Alex Winter","alex-winter","actor","284iOLWmQCw","https://www.youtube.com/watch?v=284iOLWmQCw","","2026-02-20","","https://www.criterion.com/shop/collection/926-alex-winter-s-closet-picks","7","","","","","",""
"Alexander Payne","alexander-payne","director","vMypwNZ2JBI","https://www.youtube.com/watch?v=vMypwNZ2JBI","","2017-12-06","","https://www.criterion.com/shop/collection/478-alexander-payne-s-closet-picks","11","","","","","",""
"Alfonso Cuaron And Pawel Pawlikowski","alfonso-cuaron-and-pawel-pawlikowski","director","BGvcB42YnM8","https://www.youtube.com/watch?v=BGvcB42YnM8","","2013-10-04","","https://www.criterion.com/shop/collection/526-alfonso-cuaron-and-pawel-pawlikowski-s-closet-picks","11","","","","","",""
"Alicia Malone","alicia-malone","writer","7QT96iMk0Kw","https://www.youtube.com/watch?v=7QT96iMk0Kw","","2017-08-23","","https://www.criterion.com/shop/collection/457-alicia-malone-s-closet-picks","8","","","","","",""
"Alicia Silverstone","alicia-silverstone","actor","Rb096RLBiZI","https://www.youtube.com/watch?v=Rb096RLBiZI","","2025-09-19","","https://www.criterion.com/shop/collection/868-alicia-silverstone-s-closet-picks","7","","","","","",""
"Amelia Dimoldenberg","amelia-dimoldenberg","host","fIvSlhjmbxc","https://www.youtube.com/watch?v=fIvSlhjmbxc","","2024-11-07","","https://www.criterion.com/shop/collection/734-amelia-dimoldenberg-s-closet-picks","8","","","","","",""
"Amir Naderi","amir-naderi","director","hDgU4rZRnGs","https://www.youtube.com/watch?v=hDgU4rZRnGs","","2022-12-15","","https://www.criterion.com/shop/collection/512-amir-naderi-s-closet-picks","5","","","","","",""
"Amy Heckerling","amy-heckerling","director","jsmRYmwB_HU","https://www.youtube.com/watch?v=jsmRYmwB_HU","","2017-04-04","","https://www.criterion.com/shop/collection/465-amy-heckerling-s-closet-picks","7","","","","","",""
"Amy Irving","amy-irving","actor","SNT0QRnkN3I","https://www.youtube.com/watch?v=SNT0QRnkN3I","","2025-04-04","","https://www.criterion.com/shop/collection/796-amy-irving-s-closet-picks","9","","","","","",""
"André Bonzel","andre-bonzel","director","M0vs4ni4Tuo","https://www.youtube.com/watch?v=M0vs4ni4Tuo","","2011-11-03","","https://www.criterion.com/shop/collection/528-andre-bonzel-s-closet-picks","5","","","","","",""
"Andre Gregory And Wallace Shawn","andre-gregory-and-wallace-shawn","actor","xjMy2RSgBAo","https://www.youtube.com/watch?v=xjMy2RSgBAo","","2015-06-10","","https://www.criterion.com/shop/collection/529-andre-gregory-and-wallace-shawn-s-closet-picks","6","","","","","",""
"André Holland","andre-holland","actor","YsOm4L6yzMg","https://www.youtube.com/watch?v=YsOm4L6yzMg","","2024-11-25","","https://www.criterion.com/shop/collection/745-andre-holland-s-closet-picks","7","","","","","",""
"Andrew Garfield","andrew-garfield","actor","3tH0irhiQVg","https://www.youtube.com/watch?v=3tH0irhiQVg","","2024-10-21","","https://www.criterion.com/shop/collection/730-andrew-garfield-s-closet-picks","10","","","","","",""
"Andrew Stanton","andrew-stanton","writer","lit_b1g7M6s","https://www.youtube.com/watch?v=lit_b1g7M6s","","2024-12-20","","https://www.criterion.com/shop/collection/761-andrew-stanton-s-closet-picks","6","","","","","",""
"Anna Karina","anna-karina","actor","uZvRtwCQs44","https://www.youtube.com/watch?v=uZvRtwCQs44","","2016-05-13","","https://www.criterion.com/shop/collection/451-anna-karina-s-closet-picks","5","","","","","",""
"Anna Kendrick","anna-kendrick","actor","CuZo__82POU","https://www.youtube.com/watch?v=CuZo__82POU","","2024-10-18","","https://www.criterion.com/shop/collection/729-anna-kendrick-s-closet-picks","6","","","","","",""
"Annie Baker and Lucian Johnston","annie-baker-and-lucian-johnston","producer","2PbpLSLidBw","https://www.youtube.com/watch?v=2PbpLSLidBw","","2024-06-13","","https://www.criterion.com/shop/collection/662-annie-baker-and-lucian-johnston-s-closet-picks","6","","","","","",""
"ANOHNI","anohni","musician","ty13anJtnV4","https://www.youtube.com/watch?v=ty13anJtnV4","","2025-10-01","","https://www.criterion.com/shop/collection/870-anohni-s-closet-picks","7","","","","","",""
"Anton Corbijn","anton-corbijn","director","OTzyn4xNU9M","https://www.youtube.com/watch?v=OTzyn4xNU9M","","2023-08-17","","https://www.criterion.com/shop/collection/571-anton-corbijn-s-closet-picks","5","","","","","",""
"Ari Aster","ari-aster","director","psV-DcsnU1Y","https://www.youtube.com/watch?v=psV-DcsnU1Y","","2023-04-20","","https://www.criterion.com/shop/collection/544-ari-aster-s-closet-picks-2023","35","[{""visit_index"":1,""youtube_video_id"":""psV-DcsnU1Y"",""youtube_video_url"":""https://www.youtube.com/watch?v=psV-DcsnU1Y"",""vimeo_video_id"":null,""episode_date"":""2023-04-20"",""letterboxd_list_url"":null,""criterion_page_url"":""https://www.criterion.com/shop/collection/544-ari-aster-s-closet-picks-2023""},{""visit_index"":2,""youtube_video_id"":""vj6QawF-Q9w"",""youtube_video_url"":""https://www.youtube.com/watch?v=vj6QawF-Q9w"",""vimeo_video_id"":null,""episode_date"":""2025-08-04"",""criterion_page_url"":""https://www.criterion.com/shop/collection/856-ari-aster-s-closet-picks""}]","","","","",""
"Asif Kapadia","asif-kapadia","director","fIj80K2AGnY","https://www.youtube.com/watch?v=fIj80K2AGnY","","2016-02-25","","https://www.criterion.com/shop/collection/462-asif-kapadia-s-closet-picks","14","","","","","",""
"Atom Egoyan","atom-egoyan","director","X0yY-bMTFq4","https://www.youtube.com/watch?v=X0yY-bMTFq4","","2026-01-20","","https://www.criterion.com/shop/collection/780-atom-egoyan-s-closet-picks","8","","","","","",""
"Aubrey Plaza And Jeff Baena","aubrey-plaza-and-jeff-baena","actor","b78bW2EoXeM","https://www.youtube.com/watch?v=b78bW2EoXeM","","2017-07-17","","https://www.criterion.com/shop/collection/474-aubrey-plaza-and-jeff-baena-s-closet-picks","18","","","","","",""
"Ayo Edebiri","ayo-edebiri","actor","7LvIlPvrjGk","https://www.youtube.com/watch?v=7LvIlPvrjGk","","2024-07-05","","https://www.criterion.com/shop/collection/666-ayo-edebiri-s-closet-picks","7","","","","","",""
"Azazel Jacobs","azazel-jacobs","director","vBi5fCd6Usk","https://www.youtube.com/watch?v=vBi5fCd6Usk","","2025-03-04","","https://www.criterion.com/shop/collection/785-azazel-jacobs-s-closet-picks","9","","","","","",""
"Barbara Sukowa","barbara-sukowa","actor","d0QVNb8HFTg","https://www.youtube.com/watch?v=d0QVNb8HFTg","","2024-02-14","","https://www.criterion.com/shop/collection/627-barbara-sukowa-s-closet-picks","7","","","","","",""
"Barbie Ferreira","barbie-ferreira","actor","RpttR1gI91Q","https://www.youtube.com/watch?v=RpttR1gI91Q","","2025-07-28","","https://www.criterion.com/shop/collection/849-barbie-ferreira-s-closet-picks","11","","","","","",""
"Barry Jenkins","barry-jenkins","director","R7HLpe65fHY","https://www.youtube.com/watch?v=R7HLpe65fHY","","2017-01-24","","https://www.criterion.com/shop/collection/470-barry-jenkins-s-closet-picks","17","","","","","",""
"Barry Levinson","barry-levinson","director","cqr3e6m8DGY","https://www.youtube.com/watch?v=cqr3e6m8DGY","","2017-06-12","","https://www.criterion.com/shop/collection/475-barry-levinson-s-closet-picks","6","","","","","",""
"Barry Sonnenfeld","barry-sonnenfeld","director","Td2060BoCAk","https://www.youtube.com/watch?v=Td2060BoCAk","","2024-12-09","","https://www.criterion.com/shop/collection/752-barry-sonnenfeld-s-closet-picks","5","","","","","",""
"Ben Affleck","ben-affleck","actor","3TJ2BlReus0","https://www.youtube.com/watch?v=3TJ2BlReus0","","2025-04-28","","https://www.criterion.com/shop/collection/804-ben-affleck-s-closet-picks","13","","","","","",""
"Ben Gibbards","ben-gibbards","musician","ZiRJyUUFJQA","https://www.youtube.com/watch?v=ZiRJyUUFJQA","","2024-04-04","","https://www.criterion.com/shop/collection/638-ben-gibbards-s-closet-picks","9","","","","","",""
"Ben Sinclair","ben-sinclair","director","dydNJiJ8dCA","https://www.youtube.com/watch?v=dydNJiJ8dCA","","2020-03-02","","https://www.criterion.com/shop/collection/424-ben-sinclair-s-closet-picks","9","","","","","",""
"Ben Wheatley","ben-wheatley","director","vago4fXtJvw","https://www.youtube.com/watch?v=vago4fXtJvw","","2017-05-03","","https://www.criterion.com/shop/collection/471-ben-wheatley-s-closet-picks","12","","","","","",""
"Ben Whishaw","ben-whishaw","actor","8kKR9UakxQQ","https://www.youtube.com/watch?v=8kKR9UakxQQ","","2025-11-07","","https://www.criterion.com/shop/collection/885-ben-whishaw-s-closet-picks","6","","","","","",""
"Benjamin Millepied","benjamin-millepied","director","uF970Ynyb3U","https://www.youtube.com/watch?v=uF970Ynyb3U","","2023-05-16","","https://www.criterion.com/shop/collection/550-benjamin-millepied-s-closet-picks","6","","","","","",""
"Benny Safdie","benny-safdie","director","jSdxbBsShak","https://www.youtube.com/watch?v=jSdxbBsShak","","2017-09-11","","https://www.criterion.com/shop/collection/476-josh-and-benny-safdie-s-closet-picks","21","[{""visit_index"":1,""youtube_video_id"":""jSdxbBsShak"",""youtube_video_url"":""https://www.youtube.com/watch?v=jSdxbBsShak"",""vimeo_video_id"":null,""episode_date"":""2017-09-11"",""letterboxd_list_url"":null,""criterion_page_url"":""https://www.criterion.com/shop/collection/476-josh-and-benny-safdie-s-closet-picks""},{""visit_index"":2,""youtube_video_id"":""q3aEv64x4Fo"",""youtube_video_url"":""https://www.youtube.com/watch?v=q3aEv64x4Fo"",""vimeo_video_id"":null,""episode_date"":""2025-10-21"",""criterion_page_url"":""https://www.criterion.com/shop/collection/880-benny-safdie-s-closet-picks""}]","","","","",""
"Bertrand Bonello","bertrand-bonello","director","ciZvA3lnvJE","https://www.youtube.com/watch?v=ciZvA3lnvJE","","2024-04-13","","https://www.criterion.com/shop/collection/640-bertrand-bonello-s-closet-picks","5","","","","","",""
"Betsey Johnson","betsey-johnson","designer","BlsETid3hSw","https://www.youtube.com/watch?v=BlsETid3hSw","","2025-08-29","","https://www.criterion.com/shop/collection/854-betsey-johnson-s-closet-picks","5","","","","","",""
