"guest_slug","film_slug","start_timestamp_seconds","youtube_timestamp_url","extraction_confidence","source","visit_index","pick_order","is_box_set","box_set_name","box_set_film_count","box_set_criterion_url","box_set_film_titles","vimeo_timestamp_url"
"barry-jenkins","weekend-2011","7","https://www.youtube.com/watch?v=R7HLpe65fHY&t=7","high","criterion","1","1","0","","","","",""
"barry-jenkins","dekalog","48","https://www.youtube.com/watch?v=R7HLpe65fHY&t=48","high","criterion","1","2","0","","","","",""
"barry-jenkins","la-haine","0","","none","criterion","1","3","0","","","","",""
"barry-jenkins","blood-simple","162","https://www.youtube.com/watch?v=R7HLpe65fHY&t=162","none","criterion","1","4","0","","","","",""
"barry-jenkins","fat-girl","162","https://www.youtube.com/watch?v=R7HLpe65fHY&t=162","none","criterion","1","5","0","","","","",""
"barry-jenkins","monsoon-wedding","162","https://www.youtube.com/watch?v=R7HLpe65fHY&t=162","none","criterion","1","6","0","","","","",""
"barry-jenkins","la-cienaga","162","https://www.youtube.com/watch?v=R7HLpe65fHY&t=162","none","criterion","1","7","0","","","","",""
"barry-jenkins","ratcatcher","78","https://www.youtube.com/watch?v=R7HLpe65fHY&t=78","high","criterion","1","8","0","","","","",""
"barry-jenkins","george-washington","104","https://www.youtube.com/watch?v=R7HLpe65fHY&t=104","high","criterion","1","9","0","","","","",""
"barry-jenkins","rashomon","162","https://www.youtube.com/watch?v=R7HLpe65fHY&t=162","none","criterion","1","10","0","","","","",""
"barry-jenkins","breathless","147","https://www.youtube.com/watch?v=R7HLpe65fHY&t=147","high","criterion","1","11","0","","","","",""
"barry-jenkins","a-brighter-summer-day","186","https://www.youtube.com/watch?v=R7HLpe65fHY&t=186","low","criterion","1","12","0","","","","",""
"barry-jenkins","the-apu-trilogy","162","https://www.youtube.com/watch?v=R7HLpe65fHY&t=162","none","criterion","1","13","1","The Apu Trilogy","3","https://www.criterion.com/boxsets/1145-the-apu-trilogy","",""
"barry-jenkins","john-cassavetes-five-films","27","https://www.youtube.com/watch?v=R7HLpe65fHY&t=27","high","criterion","1","14","1","John Cassavetes: Five Films","5","https://www.criterion.com/boxsets/558-john-cassavetes-five-films","",""
"barry-jenkins","the-three-colors-trilogy","0","","none","criterion","1","15","0","","","","",""
