"title","url","criterion_list_id"
"Shatara Michelle Ford’s Top 10","https://www.criterion.com/current/top-10-lists/999-shatara-michelle-ford-s-top-10","999"
"Kent Jones’s Top 10","https://www.criterion.com/current/top-10-lists/994-kent-jones-s-top-10","994"
"James Ellroy’s Top 10","https://www.criterion.com/current/top-10-lists/988-james-ellroy-s-top-10","988"
"Julio Torres’s Top 10","https://www.criterion.com/current/top-10-lists/954-julio-torres-s-top-10","954"
"Lucrecia Dalt’s Top 10","https://www.criterion.com/current/top-10-lists/940-lucrecia-dalt-s-top-10","940"
"William Tyler’s Top 10","https://www.criterion.com/current/top-10-lists/935-william-tyler-s-top-10","935"
"Max Richter’s Top 10","https://www.criterion.com/current/top-10-lists/922-max-richter-s-top-10","922"
"Tommy Dorfman’s Top 10","https://www.criterion.com/current/top-10-lists/907-tommy-dorfman-s-top-10","907"
"Olivia Laing’s Top 10","https://www.criterion.com/current/top-10-lists/889-olivia-laing-s-top-10","889"
"Harris Dickinson’s Top 10","https://www.criterion.com/current/top-10-lists/883-harris-dickinson-s-top-10","883"
"Sparks’ Top 10","https://www.criterion.com/current/top-10-lists/876-sparks-top-10","876"
"King Princess’s Top 10","https://www.criterion.com/current/top-10-lists/867-king-princess-s-top-10","867"
"Charles Busch’s Top 10","https://www.criterion.com/current/top-10-lists/861-charles-busch-s-top-10","861"
"Jon Raymond’s Top 10","https://www.criterion.com/current/top-10-lists/844-jon-raymond-s-top-10","844"
"Constance Tsang’s Top 10","https://www.criterion.com/current/top-10-lists/818-constance-tsang-s-top-10","818"
"Perfume Genius’s Top 10","https://www.criterion.com/current/top-10-lists/803-perfume-genius-s-top-10","803"
"Anthony Banua-Simon’s Top 10","https://www.criterion.com/current/top-10-lists/791-anthony-banua-simon-s-top-10","791"
"Mohammad Rasoulof’s Top 10","https://www.criterion.com/current/top-10-lists/783-mohammad-rasoulof-s-top-10","783"
"Ray Yeung’s Top 10","https://www.criterion.com/current/top-10-lists/744-ray-yeung-s-top-10","744"
"Lana Wilson’s Top 10","https://www.criterion.com/current/top-10-lists/732-lana-wilson-s-top-10","732"
"Aaron Schimberg’s Top 10","https://www.criterion.com/current/top-10-lists/719-aaron-schimberg-s-top-10","719"
"Jessica Pratt’s Top 10","https://www.criterion.com/current/top-10-lists/678-jessica-pratt-s-top-10","678"
"Lee Grant’s Top 10","https://www.criterion.com/current/top-10-lists/669-lee-grant-s-top-10","669"
"Miryam Charles’s Top 10","https://www.criterion.com/current/top-10-lists/665-miryam-charles-s-top-10","665"
"John Carpenter’s Top 10","https://www.criterion.com/current/top-10-lists/643-john-carpenter-s-top-10","643"
"Molly Manning Walker’s Top 10","https://www.criterion.com/current/top-10-lists/635-molly-manning-walker-s-top-10","635"
"Hlynur Pálmason’s Top 10","https://www.criterion.com/current/top-10-lists/615-hlynur-palmason-s-top-10","615"
"Chloe Domont’s Top 10","https://www.criterion.com/current/top-10-lists/586-chloe-domont-s-top-10","586"
"Jordan Firstman’s Top 10","https://www.criterion.com/current/top-10-lists/583-jordan-firstman-s-top-10","583"
"Andrew Bujalski’s Top 10","https://www.criterion.com/current/top-10-lists/578-andrew-bujalski-s-top-10","578"
"Celine Song’s Top 10","https://www.criterion.com/current/top-10-lists/567-celine-song-s-top-10","567"
"Daisy von Scherler Mayer’s Top 10","https://www.criterion.com/current/top-10-lists/558-daisy-von-scherler-mayer-s-top-10","558"
"Mark Jenkin’s Top 10","https://www.criterion.com/current/top-10-lists/553-mark-jenkin-s-top-10","553"
"A. V. Rockwell’s Top 10","https://www.criterion.com/current/top-10-lists/545-a-v-rockwell-s-top-10","545"
"Davy Chou’s Top 10","https://www.criterion.com/current/top-10-lists/534-davy-chou-s-top-10","534"
"Marie Kreutzer’s Top 10","https://www.criterion.com/current/top-10-lists/531-marie-kreutzer-s-top-10","531"
"Kazuo Ishiguro’s Top 10","https://www.criterion.com/current/top-10-lists/518-kazuo-ishiguro-s-top-10","518"
"Nina Menkes’s Top 10","https://www.criterion.com/current/top-10-lists/508-nina-menkes-s-top-10","508"
"Aubrey Plaza’s Top 10","https://www.criterion.com/current/top-10-lists/418-aubrey-plaza-s-top-10","418"
"Owen Kline’s Top 10","https://www.criterion.com/current/top-10-lists/416-owen-kline-s-top-10","416"
"Ty Segall’s Top 10","https://www.criterion.com/current/top-10-lists/415-ty-segall-s-top-10","415"
"Heidi Bivens’s Top 10","https://www.criterion.com/current/top-10-lists/414-heidi-bivens-s-top-10","414"
"Joel Potrykus’s Top 10","https://www.criterion.com/current/top-10-lists/396-joel-potrykus-s-top-10","396"
"Blerta Basholli’s Top 10","https://www.criterion.com/current/top-10-lists/395-blerta-basholli-s-top-10","395"
"Sebastian Meise’s Top 10","https://www.criterion.com/current/top-10-lists/394-sebastian-meise-s-top-10","394"
